host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,temperature
50893847806400,107539,0.0479,-0.0072,-9.5904,0.0208,-0.0586,-0.0305,23.55
50893859576800,107550,0.0502,-0.0084,-9.5916,0.0208,-0.0586,-0.0293,23.51
50893870776200,107562,0.0502,-0.0048,-9.5880,0.0208,-0.0599,-0.0281,23.51
50893881701600,107573,0.0491,-0.0203,-9.5833,0.0195,-0.0599,-0.0281,23.57
50893893334800,107584,0.0479,-0.0191,-9.5713,0.0208,-0.0586,-0.0293,23.53
50893904732500,107596,0.0455,-0.0179,-9.5773,0.0208,-0.0599,-0.0293,23.53
50893916191300,107607,0.0479,-0.0036,-9.5976,0.0195,-0.0599,-0.0293,23.52
50893927361900,107618,0.0514,0.0012,-9.5856,0.0208,-0.0599,-0.0305,23.52
50893938672600,107630,0.0526,-0.0072,-9.5761,0.0208,-0.0599,-0.0293,23.52
50893949954600,107641,0.0562,-0.0096,-9.5928,0.0195,-0.0586,-0.0293,23.52
50893961328300,107652,0.0491,-0.0084,-9.5904,0.0208,-0.0586,-0.0293,23.52
50893972608200,107664,0.0431,-0.0156,-9.5892,0.0195,-0.0586,-0.0305,23.57
50893984151400,107675,0.0479,-0.0096,-9.5845,0.0208,-0.0586,-0.0305,23.57
50893995252500,107686,0.0455,-0.0144,-9.5821,0.0208,-0.0574,-0.0318,23.54
50894006506800,107698,0.0455,-0.0120,-9.5833,0.0208,-0.0574,-0.0318,23.54
50894018436600,107709,0.0514,-0.0120,-9.5856,0.0208,-0.0574,-0.0318,23.51
50894029111900,107720,0.0491,-0.0156,-9.5856,0.0208,-0.0574,-0.0305,23.51
50894040427300,107732,0.0479,-0.0096,-9.5916,0.0208,-0.0586,-0.0293,23.56
50894051889300,107743,0.0479,-0.0144,-9.5737,0.0208,-0.0586,-0.0293,23.52
50894063061100,107754,0.0491,-0.0108,-9.5916,0.0208,-0.0586,-0.0293,23.52
50894074416200,107766,0.0526,-0.0156,-9.5928,0.0208,-0.0586,-0.0293,23.52
50894085775400,107777,0.0491,-0.0108,-9.5749,0.0195,-0.0586,-0.0293,23.52
50894097080300,107788,0.0479,-0.0048,-9.5833,0.0208,-0.0586,-0.0293,23.58
50894108385900,107800,0.0502,-0.0120,-9.5940,0.0195,-0.0586,-0.0305,23.58
50894119697600,107811,0.0455,-0.0132,-9.5701,0.0195,-0.0586,-0.0293,23.55
50894130983400,107822,0.0514,-0.0096,-9.5641,0.0208,-0.0586,-0.0293,23.55
50894142324700,107833,0.0491,-0.0120,-9.5940,0.0208,-0.0599,-0.0305,23.46
50894153395800,107845,0.0491,-0.0108,-9.5785,0.0208,-0.0599,-0.0293,23.54
50894165014200,107856,0.0538,-0.0132,-9.5833,0.0208,-0.0586,-0.0293,23.54
50894176364300,107867,0.0550,-0.0132,-9.5916,0.0195,-0.0586,-0.0293,23.51
50894187789300,107879,0.0467,-0.0084,-9.5833,0.0208,-0.0586,-0.0293,23.51
50894198952700,107890,0.0419,-0.0048,-9.5880,0.0208,-0.0586,-0.0293,23.53
50894210347200,107901,0.0491,-0.0060,-9.5940,0.0208,-0.0586,-0.0305,23.53
50894221684600,107913,0.0467,-0.0084,-9.5797,0.0208,-0.0586,-0.0305,23.53
50894232940900,107924,0.0491,-0.0048,-9.5821,0.0208,-0.0586,-0.0305,23.53
50894244343900,107935,0.0526,-0.0060,-9.5940,0.0208,-0.0586,-0.0293,23.53
50894255632300,107947,0.0491,-0.0132,-9.5928,0.0208,-0.0586,-0.0293,23.55
50894266464900,107958,0.0479,-0.0179,-9.5845,0.0208,-0.0586,-0.0293,23.55
50894278360300,107969,0.0502,-0.0120,-9.5892,0.0208,-0.0586,-0.0293,23.54
50894289616000,107981,0.0455,-0.0084,-9.5916,0.0208,-0.0586,-0.0305,23.54
50894300969500,107992,0.0431,-0.0156,-9.5856,0.0208,-0.0586,-0.0293,23.53
50894312202400,108003,0.0467,-0.0156,-9.5868,0.0208,-0.0586,-0.0293,23.52
50894323469500,108015,0.0502,-0.0108,-9.5916,0.0208,-0.0586,-0.0293,23.52
50894334940800,108026,0.0514,-0.0048,-9.5904,0.0208,-0.0586,-0.0293,23.54
50894346135200,108037,0.0550,-0.0012,-9.5880,0.0208,-0.0586,-0.0293,23.54
50894357361100,108049,0.0586,-0.0012,-9.5904,0.0208,-0.0586,-0.0305,23.52
50894368764700,108060,0.0550,-0.0036,-9.5868,0.0208,-0.0586,-0.0293,23.52
50894380009800,108071,0.0514,-0.0072,-9.5809,0.0208,-0.0586,-0.0293,23.56
50894391344100,108083,0.0491,-0.0156,-9.5892,0.0208,-0.0586,-0.0293,23.56
50894402707900,108094,0.0407,-0.0167,-9.5880,0.0208,-0.0586,-0.0293,23.56
50894414049800,108105,0.0395,-0.0203,-9.5856,0.0208,-0.0586,-0.0305,23.53
50894425391700,108117,0.0455,-0.0167,-9.5892,0.0208,-0.0586,-0.0293,23.53
50894436741200,108128,0.0455,-0.0156,-9.5868,0.0208,-0.0586,-0.0293,23.53
50894448099700,108139,0.0443,-0.0132,-9.5809,0.0208,-0.0586,-0.0293,23.53
50894459666300,108151,0.0419,-0.0096,-9.5856,0.0208,-0.0599,-0.0293,23.54
50894470943700,108162,0.0467,-0.0084,-9.5952,0.0208,-0.0599,-0.0305,23.54
50894482186900,108173,0.0491,-0.0096,-9.5773,0.0208,-0.0586,-0.0293,23.54
50894493460400,108185,0.0491,-0.0096,-9.5845,0.0208,-0.0586,-0.0293,23.55
50894504730000,108196,0.0443,-0.0120,-9.5845,0.0208,-0.0599,-0.0293,23.55
50894516175000,108207,0.0502,-0.0120,-9.5868,0.0208,-0.0586,-0.0293,23.55
50894526994700,108219,0.0514,-0.0072,-9.5856,0.0208,-0.0586,-0.0293,23.55
50894538796400,108230,0.0467,-0.0084,-9.5833,0.0208,-0.0586,-0.0293,23.55
50894550072400,108241,0.0467,-0.0096,-9.5880,0.0208,-0.0586,-0.0293,23.55
50894561401100,108253,0.0431,-0.0144,-9.5833,0.0208,-0.0586,-0.0293,23.52
50894572781100,108264,0.0467,-0.0096,-9.5856,0.0195,-0.0586,-0.0293,23.55
50894584139700,108275,0.0479,-0.0120,-9.5904,0.0208,-0.0586,-0.0293,23.55
50894595412300,108287,0.0491,-0.0132,-9.5880,0.0195,-0.0586,-0.0293,23.55
50894607021900,108298,0.0491,-0.0144,-9.5833,0.0208,-0.0586,-0.0293,23.55
50894618220400,108309,0.0502,-0.0156,-9.5821,0.0208,-0.0574,-0.0293,23.52
50894629443400,108320,0.0491,-0.0108,-9.5892,0.0208,-0.0586,-0.0293,23.52
50894640748100,108332,0.0491,-0.0048,-9.5904,0.0208,-0.0586,-0.0305,23.54
50894652057700,108343,0.0491,-0.0024,-9.5880,0.0208,-0.0586,-0.0293,23.52
50894663362100,108355,0.0443,-0.0048,-9.5868,0.0195,-0.0586,-0.0305,23.52
50894674851200,108366,0.0371,-0.0048,-9.5868,0.0208,-0.0586,-0.0305,23.54
50894687209000,108377,0.0491,-0.0072,-9.5892,0.0208,-0.0574,-0.0305,23.54
50894697479100,108389,0.0526,-0.0108,-9.5904,0.0208,-0.0586,-0.0305,23.56
