host_timestamp,x,y,z,in_range,touch,pressure,reset
176648536183000,-38.0,640.0,0,0,0,0,0
176648556198400,-38.0,640.0,0,0,0,0,0
176648572170200,-38.0,640.0,0,0,0,0,0
176648597062000,-38.0,640.0,0,0,0,0,0
176648623938800,-38.0,640.0,0,0,0,0,0
176648640068800,-38.0,640.0,0,0,0,0,0
176648658274600,-38.0,640.0,0,0,0,0,0
176648675665000,-38.0,640.0,0,0,0,0,0
176648692215000,-38.0,640.0,0,0,0,0,0
176648708261600,-38.0,640.0,0,0,0,0,0
176648725924100,-38.0,640.0,0,0,0,0,0
176648744374400,-38.0,640.0,0,0,0,0,0
176648759420800,-38.0,640.0,0,0,0,0,0
176648777884000,-38.0,640.0,0,0,0,0,0
176648792808200,-38.0,640.0,0,0,0,0,0
176648810698200,-38.0,640.0,0,0,0,0,0
176648825081100,-38.0,640.0,0,0,0,0,0
176648840321300,-38.0,640.0,0,0,0,0,0
176648860022700,-38.0,640.0,0,0,0,0,0
176648875964800,-38.0,640.0,0,0,0,0,0
176648892122400,-38.0,640.0,0,0,0,0,0
176648910041300,-38.0,640.0,0,0,0,0,0
176648925632600,-38.0,640.0,0,0,0,0,0
176648940312700,-38.0,640.0,0,0,0,0,0
176648956161300,-38.0,640.0,0,0,0,0,0
176648972747900,-38.0,640.0,0,0,0,0,0
176648989551900,-38.0,640.0,0,0,0,0,0
176649005847800,-38.0,640.0,0,0,0,0,0
176649023430500,-38.0,640.0,0,0,0,0,0
176649038658400,-38.0,640.0,0,0,0,0,0
176649055479900,-38.0,640.0,0,0,0,0,0
176649073091200,-38.0,640.0,0,0,0,0,0
176649090164500,-38.0,640.0,0,0,0,0,0
176649106690300,-38.0,640.0,0,0,0,0,0
176649122155500,-38.0,640.0,0,0,0,0,0
176649139016200,-38.0,640.0,0,0,0,0,0
176649155449700,-38.0,640.0,0,0,0,0,0
176649171927000,-38.0,640.0,0,0,0,0,0
176649190230800,-38.0,640.0,0,0,0,0,0
