host_timestamp,x,y,z,in_range,touch,pressure,reset
177080636838700,-125.0,727.0,0,0,0,0,0
177080652656800,-125.0,727.0,0,0,0,0,0
177080669169100,-125.0,727.0,0,0,0,0,0
177080685333800,-125.0,727.0,0,0,0,0,0
177080702218800,-125.0,727.0,0,0,0,0,0
177080719801700,-125.0,727.0,0,0,0,0,0
177080736913100,-125.0,727.0,0,0,0,0,0
177080754902000,-125.0,727.0,0,0,0,0,0
177080770873900,-125.0,727.0,0,0,0,0,0
177080787962300,-125.0,727.0,0,0,0,0,0
177080804789100,-125.0,727.0,0,0,0,0,0
177080820309500,-125.0,727.0,0,0,0,0,0
177080837569100,-125.0,727.0,0,0,0,0,0
177080854490300,-125.0,727.0,0,0,0,0,0
177080870788200,-125.0,727.0,0,0,0,0,0
177080887126000,-125.0,727.0,0,0,0,0,0
177080903193800,-125.0,727.0,0,0,0,0,0
177080918993000,-125.0,727.0,0,0,0,0,0
177080928995100,-125.0,727.0,0,0,0,0,0
177080939150900,-125.0,727.0,0,0,0,0,0
177080952151700,-125.0,727.0,0,0,0,0,0
177080962156200,-125.0,727.0,0,0,0,0,0
177080972211100,-125.0,727.0,0,0,0,0,0
177080985845300,-125.0,727.0,0,0,0,0,0
177080995850200,-125.0,727.0,0,0,0,0,0
177081005856100,-125.0,727.0,0,0,0,0,0
177081019945100,-125.0,727.0,0,0,0,0,0
177081036364100,-125.0,727.0,0,0,0,0,0
177081053042900,-125.0,727.0,0,0,0,0,0
177081070057100,-125.0,727.0,0,0,0,0,0
177081086194500,-125.0,727.0,0,0,0,0,0
177081101946600,-125.0,727.0,0,0,0,0,0
177081107442400,-125.0,727.0,0,0,0,0,0
177081118917600,-125.0,727.0,0,0,0,0,0
177081128913500,-125.0,727.0,0,0,0,0,0
177081138917200,-125.0,727.0,0,0,0,0,0
177081151399100,-125.0,727.0,0,0,0,0,0
177081161423100,-125.0,727.0,0,0,0,0,0
177081171424400,-125.0,727.0,0,0,0,0,0
177081184612900,-125.0,727.0,0,0,0,0,0
177081194613300,-125.0,727.0,0,0,0,0,0
177081204618500,-125.0,727.0,0,0,0,0,0
177081218628700,-125.0,727.0,0,0,0,0,0
177081228634000,-125.0,727.0,0,0,0,0,0
177081238715600,-125.0,727.0,0,0,0,0,0
177081252432000,-125.0,727.0,0,0,0,0,0
177081262433300,-125.0,727.0,0,0,0,0,0
177081272437300,-125.0,727.0,0,0,0,0,0
177081284600400,-125.0,727.0,0,0,0,0,0
177081294600500,-125.0,727.0,0,0,0,0,0
177081305116600,-125.0,727.0,0,0,0,0,0
177081317938900,-125.0,727.0,0,0,0,0,0
177081327937200,-125.0,727.0,0,0,0,0,0
177081338214800,-125.0,727.0,0,0,0,0,0
177081351136200,-125.0,727.0,0,0,0,0,0
177081359283700,-125.0,727.0,0,0,0,0,0
177081369403100,-125.0,727.0,0,0,0,0,0
177081379446500,-125.0,727.0,0,0,0,0,0
177081389454200,-125.0,727.0,0,0,0,0,0
177081401353700,-125.0,727.0,0,0,0,0,0
177081411356100,-125.0,727.0,0,0,0,0,0
177081421357100,-125.0,727.0,0,0,0,0,0
177081431359000,-125.0,727.0,0,0,0,0,0
177081441363600,-125.0,727.0,0,0,0,0,0
177081451381700,-125.0,727.0,0,0,0,0,0
177081461400200,-125.0,727.0,0,0,0,0,0
177081471603400,-125.0,727.0,0,0,0,0,0
177081481604700,-125.0,727.0,0,0,0,0,0
177081492013000,-125.0,727.0,0,0,0,0,0
177081502011400,-125.0,727.0,0,0,0,0,0
177081512015600,-125.0,727.0,0,0,0,0,0
177081522016500,-125.0,727.0,0,0,0,0,0
177081532068500,-125.0,727.0,0,0,0,0,0
177081542070600,-125.0,727.0,0,0,0,0,0
177081552386900,-125.0,727.0,0,0,0,0,0
177081562390000,-125.0,727.0,0,0,0,0,0
177081572396500,-125.0,727.0,0,0,0,0,0
177081584444000,-125.0,727.0,0,0,0,0,0
177081594688400,-125.0,727.0,0,0,0,0,0
177081616618400,-125.0,727.0,0,0,0,0,0
177081634634200,-125.0,727.0,0,0,0,0,0
177081651225900,-125.0,727.0,0,0,0,0,0
177081667753300,-125.0,727.0,0,0,0,0,0
177081684338400,-125.0,727.0,0,0,0,0,0
177081701159300,-125.0,727.0,0,0,0,0,0
177081718314100,-125.0,727.0,0,0,0,0,0
177081734945000,-125.0,727.0,0,0,0,0,0
