host_timestamp,x,y,z,in_range,touch,pressure,reset
177938664838800,-154.0,756.0,0,0,0,0,0
177938684705700,-154.0,756.0,0,0,0,0,0
177938700641400,-154.0,756.0,0,0,0,0,0
177938716500500,-154.0,756.0,0,0,0,0,0
177938734088900,-154.0,756.0,0,0,0,0,0
177938750445100,-154.0,756.0,0,0,0,0,0
177938767095000,-154.0,756.0,0,0,0,0,0
177938783319100,-154.0,756.0,0,0,0,0,0
177938800137900,-154.0,756.0,0,0,0,0,0
177938816215100,-154.0,756.0,0,0,0,0,0
177938833887800,-154.0,756.0,0,0,0,0,0
177938852132500,-154.0,756.0,0,0,0,0,0
177938868960600,-154.0,756.0,0,0,0,0,0
177938882975100,-154.0,756.0,0,0,0,0,0
177938899720900,-154.0,756.0,0,0,0,0,0
177938916249000,-154.0,756.0,0,0,0,0,0
177938932688900,-154.0,756.0,0,0,0,0,0
177938950410200,-154.0,756.0,0,0,0,0,0
177938966759800,-154.0,756.0,0,0,0,0,0
177938983792500,-154.0,756.0,0,0,0,0,0
177938999073100,-154.0,756.0,0,0,0,0,0
177939016194500,-154.0,756.0,0,0,0,0,0
177939034802700,-154.0,756.0,0,0,0,0,0
177939050284700,-154.0,756.0,0,0,0,0,0
177939067875100,-154.0,756.0,0,0,0,0,0
177939083484100,-154.0,756.0,0,0,0,0,0
177939100458600,-154.0,756.0,0,0,0,0,0
177939103571400,-154.0,756.0,0,0,0,0,0
177939117206700,-154.0,756.0,0,0,0,0,0
177939133578600,-154.0,756.0,0,0,0,0,0
177939143585100,-154.0,756.0,0,0,0,0,0
177939153821900,-154.0,756.0,0,0,0,0,0
177939169143200,-154.0,756.0,0,0,0,0,0
177939184455500,-154.0,756.0,0,0,0,0,0
177939199253500,-154.0,756.0,0,0,0,0,0
177939209253100,-154.0,756.0,0,0,0,0,0
177939219259700,-154.0,756.0,0,0,0,0,0
177939233174200,-154.0,756.0,0,0,0,0,0
177939243163400,-154.0,756.0,0,0,0,0,0
177939253164400,-154.0,756.0,0,0,0,0,0
177939265601000,-154.0,756.0,0,0,0,0,0
177939275601700,-154.0,756.0,0,0,0,0,0
177939285610500,-154.0,756.0,0,0,0,0,0
177939300301600,-154.0,756.0,0,0,0,0,0
177939310303700,-154.0,756.0,0,0,0,0,0
177939320339400,-154.0,756.0,0,0,0,0,0
177939333146500,-154.0,756.0,0,0,0,0,0
177939343142900,-154.0,756.0,0,0,0,0,0
177939353142800,-154.0,756.0,0,0,0,0,0
177939366007200,-154.0,756.0,0,0,0,0,0
177939376088500,-154.0,756.0,0,0,0,0,0
177939386086900,-154.0,756.0,0,0,0,0,0
177939398989100,-154.0,756.0,0,0,0,0,0
177939408986200,-154.0,756.0,0,0,0,0,0
177939419517600,-154.0,756.0,0,0,0,0,0
177939432499600,-154.0,756.0,0,0,0,0,0
177939440549900,-154.0,756.0,0,0,0,0,0
177939450545400,-154.0,756.0,0,0,0,0,0
177939460552900,-154.0,756.0,0,0,0,0,0
177939470572800,-154.0,756.0,0,0,0,0,0
177939499109100,-154.0,756.0,0,0,0,0,0
177939517406300,-154.0,756.0,0,0,0,0,0
177939533382800,-154.0,756.0,0,0,0,0,0
177939550242400,-154.0,756.0,0,0,0,0,0
177939566686000,-154.0,756.0,0,0,0,0,0
177939583259400,-154.0,756.0,0,0,0,0,0
177939599435800,-154.0,756.0,0,0,0,0,0
177939615881500,-154.0,756.0,0,0,0,0,0
177939633198900,-154.0,756.0,0,0,0,0,0
177939650305800,-154.0,756.0,0,0,0,0,0
177939666462200,-154.0,756.0,0,0,0,0,0
177939683134000,-154.0,756.0,0,0,0,0,0
177939708800300,-154.0,756.0,0,0,0,0,0
177939737242700,-154.0,756.0,0,0,0,0,0
177939750554000,-154.0,756.0,0,0,0,0,0
177939768119200,-154.0,756.0,0,0,0,0,0
177939785930900,-154.0,756.0,0,0,0,0,0
177939804075100,-154.0,756.0,0,0,0,0,0
177939819180300,-154.0,756.0,0,0,0,0,0
