host_timestamp,x,y,z,in_range,touch,pressure,reset
178154449737800,-183.0,785.0,0,0,0,0,0
178154475401700,-183.0,785.0,0,0,0,0,0
178154491095800,-183.0,785.0,0,0,0,0,0
178154510250500,-183.0,785.0,0,0,0,0,0
178154527310600,-183.0,785.0,0,0,0,0,0
178154547043800,-183.0,785.0,0,0,0,0,0
178154561301500,-183.0,785.0,0,0,0,0,0
178154577481900,-183.0,785.0,0,0,0,0,0
178154593416700,-183.0,785.0,0,0,0,0,0
178154612911700,-183.0,785.0,0,0,0,0,0
178154625909500,-183.0,785.0,0,0,0,0,0
178154643868500,-183.0,785.0,0,0,0,0,0
178154662289200,-183.0,785.0,0,0,0,0,0
178154678014800,-183.0,785.0,0,0,0,0,0
178154696461300,-183.0,785.0,0,0,0,0,0
178154707964900,-183.0,785.0,0,0,0,0,0
178154727892500,-183.0,785.0,0,0,0,0,0
178154744085700,-183.0,785.0,0,0,0,0,0
178154760177900,-183.0,785.0,0,0,0,0,0
178154776894800,-183.0,785.0,0,0,0,0,0
178154792756400,-183.0,785.0,0,0,0,0,0
178154810738400,-183.0,785.0,0,0,0,0,0
178154827047600,-183.0,785.0,0,0,0,0,0
178154843524400,-183.0,785.0,0,0,0,0,0
178154860355400,-183.0,785.0,0,0,0,0,0
178154877112200,-183.0,785.0,0,0,0,0,0
178154893768500,-183.0,785.0,0,0,0,0,0
178154912567100,-183.0,785.0,0,0,0,0,0
178154926986800,-183.0,785.0,0,0,0,0,0
178154943586000,-183.0,785.0,0,0,0,0,0
178154959688200,-183.0,785.0,0,0,0,0,0
178154975287300,-183.0,785.0,0,0,0,0,0
178154991974300,-183.0,785.0,0,0,0,0,0
178155009876800,-183.0,785.0,0,0,0,0,0
178155025401000,-183.0,785.0,0,0,0,0,0
178155043199200,-183.0,785.0,0,0,0,0,0
178155059117300,-183.0,785.0,0,0,0,0,0
178155075793900,-183.0,785.0,0,0,0,0,0
178155093621600,-183.0,785.0,0,0,0,0,0
178155110134600,-183.0,785.0,0,0,0,0,0
178155124393800,-183.0,785.0,0,0,0,0,0
178155134484300,-183.0,785.0,0,0,0,0,0
178155144555200,-183.0,785.0,0,0,0,0,0
178155158005600,-183.0,785.0,0,0,0,0,0
178155168238600,-183.0,785.0,0,0,0,0,0
178155178232000,-183.0,785.0,0,0,0,0,0
178155228108100,-183.0,785.0,0,0,0,0,0
178155228502800,-183.0,785.0,0,0,0,0,0
178155242709300,-183.0,785.0,0,0,0,0,0
178155260229500,-183.0,785.0,0,0,0,0,0
178155276869400,-183.0,785.0,0,0,0,0,0
178155292151800,-183.0,785.0,0,0,0,0,0
178155309705300,-183.0,785.0,0,0,0,0,0
178155326327400,-183.0,785.0,0,0,0,0,0
178155343298500,-183.0,785.0,0,0,0,0,0
178155360401800,-183.0,785.0,0,0,0,0,0
178155376887300,-183.0,785.0,0,0,0,0,0
178155393191500,-183.0,785.0,0,0,0,0,0
178155409464700,-183.0,785.0,0,0,0,0,0
178155426276800,-183.0,785.0,0,0,0,0,0
178155443150700,-183.0,785.0,0,0,0,0,0
178155460048400,-183.0,785.0,0,0,0,0,0
178155476827800,-183.0,785.0,0,0,0,0,0
178155492741600,-183.0,785.0,0,0,0,0,0
178155508668100,-183.0,785.0,0,0,0,0,0
178155525832900,-183.0,785.0,0,0,0,0,0
178155542688800,-183.0,785.0,0,0,0,0,0
178155558334400,-183.0,785.0,0,0,0,0,0
178155575986200,-183.0,785.0,0,0,0,0,0
178155592235800,-183.0,785.0,0,0,0,0,0
178155609129200,-183.0,785.0,0,0,0,0,0
178155625530000,-183.0,785.0,0,0,0,0,0
178155641596600,-183.0,785.0,0,0,0,0,0
178155658378600,-183.0,785.0,0,0,0,0,0
178155675674000,-183.0,785.0,0,0,0,0,0
178155693157300,-183.0,785.0,0,0,0,0,0
178155707908800,-183.0,785.0,0,0,0,0,0
178155726009400,-183.0,785.0,0,0,0,0,0
178155742074600,-183.0,785.0,0,0,0,0,0
178155759355100,-183.0,785.0,0,0,0,0,0
178155775028800,-183.0,785.0,0,0,0,0,0
178155792495000,-183.0,785.0,0,0,0,0,0
178155808412500,-183.0,785.0,0,0,0,0,0
178155826758000,-183.0,785.0,0,0,0,0,0
178155841489300,-183.0,785.0,0,0,0,0,0
178155858839100,-183.0,785.0,0,0,0,0,0
178155875415600,-183.0,785.0,0,0,0,0,0
178155892085600,-183.0,785.0,0,0,0,0,0
178155908995700,-183.0,785.0,0,0,0,0,0
178155925820200,-183.0,785.0,0,0,0,0,0
178155942385700,-183.0,785.0,0,0,0,0,0
178155959033700,-183.0,785.0,0,0,0,0,0
178155976217600,-183.0,785.0,0,0,0,0,0
178155991967500,-183.0,785.0,0,0,0,0,0
178156008725600,-183.0,785.0,0,0,0,0,0
178156027949300,-183.0,785.0,0,0,0,0,0
178156043614900,-183.0,785.0,0,0,0,0,0
178156058949900,-183.0,785.0,0,0,0,0,0
178156074971500,-183.0,785.0,0,0,0,0,0
178156092606800,-183.0,785.0,0,0,0,0,0
