host_timestamp,x,y,z,in_range,touch,pressure,reset
178393189169300,-212.0,814.0,0,0,0,0,0
178393200274000,-212.0,814.0,0,0,0,0,0
178393210344600,-212.0,814.0,0,0,0,0,0
178393220341800,-212.0,814.0,0,0,0,0,0
178393234671300,-212.0,814.0,0,0,0,0,0
178393244672000,-212.0,814.0,0,0,0,0,0
178393254868800,-212.0,814.0,0,0,0,0,0
178393285886700,-212.0,814.0,0,0,0,0,0
178393303814800,-212.0,814.0,0,0,0,0,0
178393322124300,-212.0,814.0,0,0,0,0,0
178393336682300,-212.0,814.0,0,0,0,0,0
178393353915100,-212.0,814.0,0,0,0,0,0
178393371021300,-212.0,814.0,0,0,0,0,0
178393388616500,-212.0,814.0,0,0,0,0,0
178393403029700,-212.0,814.0,0,0,0,0,0
178393421420100,-212.0,814.0,0,0,0,0,0
178393437447500,-212.0,814.0,0,0,0,0,0
178393452623600,-212.0,814.0,0,0,0,0,0
178393468975000,-212.0,814.0,0,0,0,0,0
178393486246600,-212.0,814.0,0,0,0,0,0
178393501878400,-212.0,814.0,0,0,0,0,0
178393518691000,-212.0,814.0,0,0,0,0,0
178393535000000,-212.0,814.0,0,0,0,0,0
178393552935200,-212.0,814.0,0,0,0,0,0
178393568679200,-212.0,814.0,0,0,0,0,0
178393585729800,-212.0,814.0,0,0,0,0,0
178393602575400,-212.0,814.0,0,0,0,0,0
178393619923400,-212.0,814.0,0,0,0,0,0
178393635634300,-212.0,814.0,0,0,0,0,0
178393655613300,-212.0,814.0,0,0,0,0,0
178393669597200,-212.0,814.0,0,0,0,0,0
178393684967200,-212.0,814.0,0,0,0,0,0
178393702553300,-212.0,814.0,0,0,0,0,0
178393719075000,-212.0,814.0,0,0,0,0,0
178393735667300,-212.0,814.0,0,0,0,0,0
178393751825700,-212.0,814.0,0,0,0,0,0
178393768649200,-212.0,814.0,0,0,0,0,0
178393772185300,-212.0,814.0,0,0,0,0,0
178393785073600,-212.0,814.0,0,0,0,0,0
178393795078200,-212.0,814.0,0,0,0,0,0
178393805079200,-212.0,814.0,0,0,0,0,0
178393835349500,-212.0,814.0,0,0,0,0,0
178393869662800,-212.0,814.0,0,0,0,0,0
178393883152300,-212.0,814.0,0,0,0,0,0
178393902934700,-212.0,814.0,0,0,0,0,0
178393919083900,-212.0,814.0,0,0,0,0,0
178393934247600,-212.0,814.0,0,0,0,0,0
178393952861500,-212.0,814.0,0,0,0,0,0
178393968866600,-212.0,814.0,0,0,0,0,0
178393985710300,-212.0,814.0,0,0,0,0,0
178394001780500,-212.0,814.0,0,0,0,0,0
178394018216100,-212.0,814.0,0,0,0,0,0
178394035867000,-212.0,814.0,0,0,0,0,0
178394051498600,-212.0,814.0,0,0,0,0,0
178394068144600,-212.0,814.0,0,0,0,0,0
178394084487900,-212.0,814.0,0,0,0,0,0
178394101840200,-212.0,814.0,0,0,0,0,0
178394119750900,-212.0,814.0,0,0,0,0,0
178394135388200,-212.0,814.0,0,0,0,0,0
178394151860200,-212.0,814.0,0,0,0,0,0
178394167556900,-212.0,814.0,0,0,0,0,0
178394184731100,-212.0,814.0,0,0,0,0,0
178394200322200,-212.0,814.0,0,0,0,0,0
178394218008300,-212.0,814.0,0,0,0,0,0
178394234060800,-212.0,814.0,0,0,0,0,0
178394249797800,-212.0,814.0,0,0,0,0,0
178394266589700,-212.0,814.0,0,0,0,0,0
178394283254100,-212.0,814.0,0,0,0,0,0
178394299905900,-212.0,814.0,0,0,0,0,0
178394316720200,-212.0,814.0,0,0,0,0,0
178394335284100,-212.0,814.0,0,0,0,0,0
178394350270300,-212.0,814.0,0,0,0,0,0
178394367700000,-212.0,814.0,0,0,0,0,0
178394383613300,-212.0,814.0,0,0,0,0,0
178394400686500,-212.0,814.0,0,0,0,0,0
178394416799600,-212.0,814.0,0,0,0,0,0
178394433983600,-212.0,814.0,0,0,0,0,0
178394450850800,-212.0,814.0,0,0,0,0,0
178394467854300,-212.0,814.0,0,0,0,0,0
178394485119300,-212.0,814.0,0,0,0,0,0
178394500960100,-212.0,814.0,0,0,0,0,0
178394516512300,-212.0,814.0,0,0,0,0,0
178394533361100,-212.0,814.0,0,0,0,0,0
178394550167600,-212.0,814.0,0,0,0,0,0
178394567094100,-212.0,814.0,0,0,0,0,0
178394584325300,-212.0,814.0,0,0,0,0,0
178394600231900,-212.0,814.0,0,0,0,0,0
178394617578000,-212.0,814.0,0,0,0,0,0
178394633539100,-212.0,814.0,0,0,0,0,0
178394650967400,-212.0,814.0,0,0,0,0,0
178394667665700,-212.0,814.0,0,0,0,0,0
178394683545200,-212.0,814.0,0,0,0,0,0
178394700926600,-212.0,814.0,0,0,0,0,0
