host_timestamp,x,y,z,in_range,touch,pressure,reset
178517792038200,-96.0,698.0,0,0,0,0,0
178517816596800,-96.0,698.0,0,0,0,0,0
178517832006500,-96.0,698.0,0,0,0,0,0
178517849908300,-96.0,698.0,0,0,0,0,0
178517869989200,-96.0,698.0,0,0,0,0,0
178517887271000,-96.0,698.0,0,0,0,0,0
178517904020700,-96.0,698.0,0,0,0,0,0
178517919732700,-96.0,698.0,0,0,0,0,0
178517935449300,-96.0,698.0,0,0,0,0,0
178517953428100,-96.0,698.0,0,0,0,0,0
178517969895600,-96.0,698.0,0,0,0,0,0
178517985612300,-96.0,698.0,0,0,0,0,0
178518000982600,-96.0,698.0,0,0,0,0,0
178518019157200,-96.0,698.0,0,0,0,0,0
178518036498200,-96.0,698.0,0,0,0,0,0
178518050083500,-96.0,698.0,0,0,0,0,0
178518068741000,-96.0,698.0,0,0,0,0,0
178518084869400,-96.0,698.0,0,0,0,0,0
178518100969000,-96.0,698.0,0,0,0,0,0
178518119146400,-96.0,698.0,0,0,0,0,0
178518134312000,-96.0,698.0,0,0,0,0,0
178518150163300,-96.0,698.0,0,0,0,0,0
178518166474100,-96.0,698.0,0,0,0,0,0
178518185017700,-96.0,698.0,0,0,0,0,0
178518200951300,-96.0,698.0,0,0,0,0,0
178518218568300,-96.0,698.0,0,0,0,0,0
178518233157900,-96.0,698.0,0,0,0,0,0
178518249066000,-96.0,698.0,0,0,0,0,0
178518265593800,-96.0,698.0,0,0,0,0,0
178518282452300,-96.0,698.0,0,0,0,0,0
178518301063600,-96.0,698.0,0,0,0,0,0
178518316824300,-96.0,698.0,0,0,0,0,0
178518333186800,-96.0,698.0,0,0,0,0,0
178518350379700,-96.0,698.0,0,0,0,0,0
178518366978600,-96.0,698.0,0,0,0,0,0
178518384102200,-96.0,698.0,0,0,0,0,0
178518398985300,-96.0,698.0,0,0,0,0,0
178518416268000,-96.0,698.0,0,0,0,0,0
178518432232500,-96.0,698.0,0,0,0,0,0
178518448946900,-96.0,698.0,0,0,0,0,0
178518465862700,-96.0,698.0,0,0,0,0,0
178518482444700,-96.0,698.0,0,0,0,0,0
178518499261800,-96.0,698.0,0,0,0,0,0
178518516187700,-96.0,698.0,0,0,0,0,0
178518532468400,-96.0,698.0,0,0,0,0,0
178518549068700,-96.0,698.0,0,0,0,0,0
178518565007900,-96.0,698.0,0,0,0,0,0
178518582474200,-96.0,698.0,0,0,0,0,0
178518598995100,-96.0,698.0,0,0,0,0,0
178518615947100,-96.0,698.0,0,0,0,0,0
178518632190900,-96.0,698.0,0,0,0,0,0
178518648451800,-96.0,698.0,0,0,0,0,0
178518658449400,-96.0,698.0,0,0,0,0,0
178518668464200,-96.0,698.0,0,0,0,0,0
178518682050200,-96.0,698.0,0,0,0,0,0
178518692061200,-96.0,698.0,0,0,0,0,0
178518702061900,-96.0,698.0,0,0,0,0,0
178518716396100,-96.0,698.0,0,0,0,0,0
178518733907100,-96.0,698.0,0,0,0,0,0
178518748783400,-96.0,698.0,0,0,0,0,0
178518758782700,-96.0,698.0,0,0,0,0,0
178518768787000,-96.0,698.0,0,0,0,0,0
178518782348500,-96.0,698.0,0,0,0,0,0
178518792353700,-96.0,698.0,0,0,0,0,0
178518802568800,-96.0,698.0,0,0,0,0,0
178518851596900,-96.0,698.0,0,0,0,0,0
178518851897900,-96.0,698.0,0,0,0,0,0
178518865311700,-96.0,698.0,0,0,0,0,0
178518884583500,-96.0,698.0,0,0,0,0,0
178518902104000,-96.0,698.0,0,0,0,0,0
178518917649400,-96.0,698.0,0,0,0,0,0
178518934797300,-96.0,698.0,0,0,0,0,0
178518951242400,-96.0,698.0,0,0,0,0,0
178518966807600,-96.0,698.0,0,0,0,0,0
178518982948400,-96.0,698.0,0,0,0,0,0
178518999916100,-96.0,698.0,0,0,0,0,0
178519017949400,-96.0,698.0,0,0,0,0,0
178519033767400,-96.0,698.0,0,0,0,0,0
178519050777100,-96.0,698.0,0,0,0,0,0
178519066496900,-96.0,698.0,0,0,0,0,0
178519084984300,-96.0,698.0,0,0,0,0,0
178519101348600,-96.0,698.0,0,0,0,0,0
178519117439400,-96.0,698.0,0,0,0,0,0
178519133375100,-96.0,698.0,0,0,0,0,0
178519149542600,-96.0,698.0,0,0,0,0,0
178519167043800,-96.0,698.0,0,0,0,0,0
178519182084400,-96.0,698.0,0,0,0,0,0
178519198588600,-96.0,698.0,0,0,0,0,0
178519215578700,-96.0,698.0,0,0,0,0,0
178519231955000,-96.0,698.0,0,0,0,0,0
178519248525500,-96.0,698.0,0,0,0,0,0
178519265062500,-96.0,698.0,0,0,0,0,0
178519281718300,-96.0,698.0,0,0,0,0,0
178519298568600,-96.0,698.0,0,0,0,0,0
178519315944900,-96.0,698.0,0,0,0,0,0
178519333116200,-96.0,698.0,0,0,0,0,0
178519349041200,-96.0,698.0,0,0,0,0,0
178519365667400,-96.0,698.0,0,0,0,0,0
178519383139300,-96.0,698.0,0,0,0,0,0
178519399739600,-96.0,698.0,0,0,0,0,0
