host_timestamp,x,y,z,in_range,touch,pressure,reset
178604192844000,-212.0,814.0,0,0,0,0,0
178604244208400,-212.0,814.0,0,0,0,0,0
178604264591800,-212.0,814.0,0,0,0,0,0
178604282445000,-212.0,814.0,0,0,0,0,0
178604299234200,-212.0,814.0,0,0,0,0,0
178604316441800,-212.0,814.0,0,0,0,0,0
178604333708800,-212.0,814.0,0,0,0,0,0
178604349875200,-212.0,814.0,0,0,0,0,0
178604366207700,-212.0,814.0,0,0,0,0,0
178604382790200,-212.0,814.0,0,0,0,0,0
178604400440900,-212.0,814.0,0,0,0,0,0
178604418055600,-212.0,814.0,0,0,0,0,0
178604434776600,-212.0,814.0,0,0,0,0,0
178604450636900,-212.0,814.0,0,0,0,0,0
178604466274200,-212.0,814.0,0,0,0,0,0
178604481174800,-212.0,814.0,0,0,0,0,0
178604497913000,-212.0,814.0,0,0,0,0,0
178604514347600,-212.0,814.0,0,0,0,0,0
178604530580100,-212.0,814.0,0,0,0,0,0
178604548026900,-212.0,814.0,0,0,0,0,0
178604565574800,-212.0,814.0,0,0,0,0,0
178604581952500,-212.0,814.0,0,0,0,0,0
178604598321400,-212.0,814.0,0,0,0,0,0
178604613985800,-212.0,814.0,0,0,0,0,0
178604631533500,-212.0,814.0,0,0,0,0,0
178604647266500,-212.0,814.0,0,0,0,0,0
178604663795500,-212.0,814.0,0,0,0,0,0
178604683603500,-212.0,814.0,0,0,0,0,0
178604698107200,-212.0,814.0,0,0,0,0,0
178604715024500,-212.0,814.0,0,0,0,0,0
178604729366500,-212.0,814.0,0,0,0,0,0
178604745643900,-212.0,814.0,0,0,0,0,0
178604762249600,-212.0,814.0,0,0,0,0,0
178604779209600,-212.0,814.0,0,0,0,0,0
178604796122600,-212.0,814.0,0,0,0,0,0
178604812963500,-212.0,814.0,0,0,0,0,0
178604829384100,-212.0,814.0,0,0,0,0,0
178604849666000,-212.0,814.0,0,0,0,0,0
178604866880700,-212.0,814.0,0,0,0,0,0
178604882621400,-212.0,814.0,0,0,0,0,0
178604896820900,-212.0,814.0,0,0,0,0,0
178604913688600,-212.0,814.0,0,0,0,0,0
