host_timestamp,x,y,z,in_range,touch,pressure,reset
178744135518100,-154.0,756.0,0,0,0,0,0
178744150129900,-154.0,756.0,0,0,0,0,0
178744168161600,-154.0,756.0,0,0,0,0,0
178744183683000,-154.0,756.0,0,0,0,0,0
178744201657200,-154.0,756.0,0,0,0,0,0
178744220590600,-154.0,756.0,0,0,0,0,0
178744238179600,-154.0,756.0,0,0,0,0,0
178744253670700,-154.0,756.0,0,0,0,0,0
178744271519200,-154.0,756.0,0,0,0,0,0
178744286769700,-154.0,756.0,0,0,0,0,0
178744305667500,-154.0,756.0,0,0,0,0,0
178744321026600,-154.0,756.0,0,0,0,0,0
178744337446600,-154.0,756.0,0,0,0,0,0
178744353275400,-154.0,756.0,0,0,0,0,0
178744370863700,-154.0,756.0,0,0,0,0,0
178744387694200,-154.0,756.0,0,0,0,0,0
178744402116200,-154.0,756.0,0,0,0,0,0
178744418326500,-154.0,756.0,0,0,0,0,0
178744436898200,-154.0,756.0,0,0,0,0,0
178744452501000,-154.0,756.0,0,0,0,0,0
178744467983900,-154.0,756.0,0,0,0,0,0
178744478038900,-154.0,756.0,0,0,0,0,0
178744488040200,-154.0,756.0,0,0,0,0,0
178744503433600,-154.0,756.0,0,0,0,0,0
178744519360200,-154.0,756.0,0,0,0,0,0
178744534521500,-154.0,756.0,0,0,0,0,0
178744545469400,-154.0,756.0,0,0,0,0,0
178744555583600,-154.0,756.0,0,0,0,0,0
178744569722800,-154.0,756.0,0,0,0,0,0
178744584649700,-154.0,756.0,0,0,0,0,0
178744594806900,-154.0,756.0,0,0,0,0,0
178744604808900,-154.0,756.0,0,0,0,0,0
178744618541000,-154.0,756.0,0,0,0,0,0
178744628551600,-154.0,756.0,0,0,0,0,0
178744638557600,-154.0,756.0,0,0,0,0,0
178744650666900,-154.0,756.0,0,0,0,0,0
178744660669000,-154.0,756.0,0,0,0,0,0
178744670678000,-154.0,756.0,0,0,0,0,0
178744685689000,-154.0,756.0,0,0,0,0,0
178744695915700,-154.0,756.0,0,0,0,0,0
178744705914500,-154.0,756.0,0,0,0,0,0
178744718860000,-154.0,756.0,0,0,0,0,0
178744729041200,-154.0,756.0,0,0,0,0,0
178744739046500,-154.0,756.0,0,0,0,0,0
178744751356800,-154.0,756.0,0,0,0,0,0
178744761345400,-154.0,756.0,0,0,0,0,0
178744771830000,-154.0,756.0,0,0,0,0,0
178744783874300,-154.0,756.0,0,0,0,0,0
178744793928200,-154.0,756.0,0,0,0,0,0
178744803929900,-154.0,756.0,0,0,0,0,0
178744817488600,-154.0,756.0,0,0,0,0,0
178744827486800,-154.0,756.0,0,0,0,0,0
178744849712000,-154.0,756.0,0,0,0,0,0
178744867618000,-154.0,756.0,0,0,0,0,0
178744884359400,-154.0,756.0,0,0,0,0,0
178744900433600,-154.0,756.0,0,0,0,0,0
178744917180300,-154.0,756.0,0,0,0,0,0
178744946461500,-154.0,756.0,0,0,0,0,0
178744974741100,-154.0,756.0,0,0,0,0,0
178744984740500,-154.0,756.0,0,0,0,0,0
178745001986800,-154.0,756.0,0,0,0,0,0
178745019208700,-154.0,756.0,0,0,0,0,0
