host_timestamp,x,y,z,in_range,touch,pressure,reset
178821148802200,-270.0,872.0,0,0,0,0,0
178821162249400,-270.0,872.0,0,0,0,0,0
178821178598700,-270.0,872.0,0,0,0,0,0
178821194709300,-270.0,872.0,0,0,0,0,0
178821204709200,-270.0,872.0,0,0,0,0,0
178821214718800,-270.0,872.0,0,0,0,0,0
178821230135600,-270.0,872.0,0,0,0,0,0
178821249954000,-270.0,872.0,0,0,0,0,0
178821264832200,-270.0,872.0,0,0,0,0,0
178821282336700,-270.0,872.0,0,0,0,0,0
178821298321900,-270.0,872.0,0,0,0,0,0
178821315261800,-270.0,872.0,0,0,0,0,0
178821330406700,-270.0,872.0,0,0,0,0,0
178821346361300,-270.0,872.0,0,0,0,0,0
178821364804900,-270.0,872.0,0,0,0,0,0
178821380393100,-270.0,872.0,0,0,0,0,0
178821397244700,-270.0,872.0,0,0,0,0,0
178821400410200,-270.0,872.0,0,0,0,0,0
178821440408700,-270.0,872.0,0,0,0,0,0
178821483272700,-270.0,872.0,0,0,0,0,0
178821495160400,-270.0,872.0,0,0,0,0,0
178821510381500,-270.0,872.0,0,0,0,0,0
178821529275800,-270.0,872.0,0,0,0,0,0
178821547471100,-270.0,872.0,0,0,0,0,0
178821563390300,-270.0,872.0,0,0,0,0,0
178821579473300,-270.0,872.0,0,0,0,0,0
178821596846600,-270.0,872.0,0,0,0,0,0
178821612954900,-270.0,872.0,0,0,0,0,0
178821630154600,-270.0,872.0,0,0,0,0,0
178821646651400,-270.0,872.0,0,0,0,0,0
178821662196600,-270.0,872.0,0,0,0,0,0
178821681536500,-270.0,872.0,0,0,0,0,0
178821696166900,-270.0,872.0,0,0,0,0,0
178821714963100,-270.0,872.0,0,0,0,0,0
178821730099700,-270.0,872.0,0,0,0,0,0
178821745896000,-270.0,872.0,0,0,0,0,0
178821761618200,-270.0,872.0,0,0,0,0,0
178821779251700,-270.0,872.0,0,0,0,0,0
178821795206700,-270.0,872.0,0,0,0,0,0
178821812069900,-270.0,872.0,0,0,0,0,0
178821827811200,-270.0,872.0,0,0,0,0,0
178821844071400,-270.0,872.0,0,0,0,0,0
178821861409900,-270.0,872.0,0,0,0,0,0
178821878416700,-270.0,872.0,0,0,0,0,0
178821895380100,-270.0,872.0,0,0,0,0,0
178821910763300,-270.0,872.0,0,0,0,0,0
178821920765600,-270.0,872.0,0,0,0,0,0
178821932137700,-270.0,872.0,0,0,0,0,0
178821945331200,-270.0,872.0,0,0,0,0,0
178821961224300,-270.0,872.0,0,0,0,0,0
178821971222300,-270.0,872.0,0,0,0,0,0
178821981226600,-270.0,872.0,0,0,0,0,0
178821994570400,-270.0,872.0,0,0,0,0,0
178822004726700,-270.0,872.0,0,0,0,0,0
178822014724100,-270.0,872.0,0,0,0,0,0
178822027865400,-270.0,872.0,0,0,0,0,0
178822037895500,-270.0,872.0,0,0,0,0,0
178822047892100,-270.0,872.0,0,0,0,0,0
178822063095900,-270.0,872.0,0,0,0,0,0
178822078349400,-270.0,872.0,0,0,0,0,0
178822088381800,-270.0,872.0,0,0,0,0,0
178822098416300,-270.0,872.0,0,0,0,0,0
178822110642500,-270.0,872.0,0,0,0,0,0
178822120641300,-270.0,872.0,0,0,0,0,0
178822130641800,-270.0,872.0,0,0,0,0,0
178822144163400,-270.0,872.0,0,0,0,0,0
178822154182800,-270.0,872.0,0,0,0,0,0
178822164288900,-270.0,872.0,0,0,0,0,0
178822178014900,-270.0,872.0,0,0,0,0,0
178822188029600,-270.0,872.0,0,0,0,0,0
178822198028500,-270.0,872.0,0,0,0,0,0
178822212946700,-270.0,872.0,0,0,0,0,0
178822228242000,-270.0,872.0,0,0,0,0,0
178822238244300,-270.0,872.0,0,0,0,0,0
178822248250300,-270.0,872.0,0,0,0,0,0
178822260830300,-270.0,872.0,0,0,0,0,0
178822270890000,-270.0,872.0,0,0,0,0,0
178822280896400,-270.0,872.0,0,0,0,0,0
178822293873300,-270.0,872.0,0,0,0,0,0
178822303878400,-270.0,872.0,0,0,0,0,0
178822313885700,-270.0,872.0,0,0,0,0,0
178822327230800,-270.0,872.0,0,0,0,0,0
178822333992700,-270.0,872.0,0,0,0,0,0
178822344038500,-270.0,872.0,0,0,0,0,0
178822354036500,-270.0,872.0,0,0,0,0,0
178822364246000,-270.0,872.0,0,0,0,0,0
178822376643600,-270.0,872.0,0,0,0,0,0
178822386840400,-270.0,872.0,0,0,0,0,0
178822396943300,-270.0,872.0,0,0,0,0,0
178822406943600,-270.0,872.0,0,0,0,0,0
178822417020100,-270.0,872.0,0,0,0,0,0
178822427468700,-270.0,872.0,0,0,0,0,0
178822437500800,-270.0,872.0,0,0,0,0,0
178822447504600,-270.0,872.0,0,0,0,0,0
178822460616200,-270.0,872.0,0,0,0,0,0
178822470650200,-270.0,872.0,0,0,0,0,0
178822480658200,-270.0,872.0,0,0,0,0,0
178822490661500,-270.0,872.0,0,0,0,0,0
178822500666800,-270.0,872.0,0,0,0,0,0
178822510723000,-270.0,872.0,0,0,0,0,0
178822520736800,-270.0,872.0,0,0,0,0,0
178822543413600,-270.0,872.0,0,0,0,0,0
178822560631800,-270.0,872.0,0,0,0,0,0
178822578976000,-270.0,872.0,0,0,0,0,0
178822594969000,-270.0,872.0,0,0,0,0,0
178822610743300,-270.0,872.0,0,0,0,0,0
178822629043500,-270.0,872.0,0,0,0,0,0
178822645202600,-270.0,872.0,0,0,0,0,0
178822662282500,-270.0,872.0,0,0,0,0,0
178822677149300,-270.0,872.0,0,0,0,0,0
178822695306700,-270.0,872.0,0,0,0,0,0
178822712194200,-270.0,872.0,0,0,0,0,0
178822728631700,-270.0,872.0,0,0,0,0,0
178822744271900,-270.0,872.0,0,0,0,0,0
178822761775300,-270.0,872.0,0,0,0,0,0
178822777961400,-270.0,872.0,0,0,0,0,0
178822796364600,-270.0,872.0,0,0,0,0,0
178822811362100,-270.0,872.0,0,0,0,0,0
178822828291000,-270.0,872.0,0,0,0,0,0
178822845475400,-270.0,872.0,0,0,0,0,0
178822862098600,-270.0,872.0,0,0,0,0,0
178822878650500,-270.0,872.0,0,0,0,0,0
178822895516800,-270.0,872.0,0,0,0,0,0
178822911575800,-270.0,872.0,0,0,0,0,0
178822928767300,-270.0,872.0,0,0,0,0,0
178822946346200,-270.0,872.0,0,0,0,0,0
178822962333900,-270.0,872.0,0,0,0,0,0
178822978801300,-270.0,872.0,0,0,0,0,0
178822993874900,-270.0,872.0,0,0,0,0,0
178823012735600,-270.0,872.0,0,0,0,0,0
178823028809400,-270.0,872.0,0,0,0,0,0
178823045796900,-270.0,872.0,0,0,0,0,0
178823061979600,-270.0,872.0,0,0,0,0,0
178823077991300,-270.0,872.0,0,0,0,0,0
178823093956500,-270.0,872.0,0,0,0,0,0
178823111609200,-270.0,872.0,0,0,0,0,0
178823128466400,-270.0,872.0,0,0,0,0,0
178823144559500,-270.0,872.0,0,0,0,0,0
178823161576700,-270.0,872.0,0,0,0,0,0
178823177401800,-270.0,872.0,0,0,0,0,0
178823195901400,-270.0,872.0,0,0,0,0,0
178823211946100,-270.0,872.0,0,0,0,0,0
178823227855700,-270.0,872.0,0,0,0,0,0
178823244559100,-270.0,872.0,0,0,0,0,0
178823261804400,-270.0,872.0,0,0,0,0,0
178823277743900,-270.0,872.0,0,0,0,0,0
178823295589000,-270.0,872.0,0,0,0,0,0
178823312530900,-270.0,872.0,0,0,0,0,0
178823328000400,-270.0,872.0,0,0,0,0,0
178823345584600,-270.0,872.0,0,0,0,0,0
178823363416100,-270.0,872.0,0,0,0,0,0
178823379476800,-270.0,872.0,0,0,0,0,0
178823395021500,-270.0,872.0,0,0,0,0,0
178823411964400,-270.0,872.0,0,0,0,0,0
178823428202800,-270.0,872.0,0,0,0,0,0
178823444955300,-270.0,872.0,0,0,0,0,0
178823461464800,-270.0,872.0,0,0,0,0,0
178823478099700,-270.0,872.0,0,0,0,0,0
178823494733100,-270.0,872.0,0,0,0,0,0
178823512630300,-270.0,872.0,0,0,0,0,0
178823528105700,-270.0,872.0,0,0,0,0,0
178823544635200,-270.0,872.0,0,0,0,0,0
178823562637100,-270.0,872.0,0,0,0,0,0
178823578078600,-270.0,872.0,0,0,0,0,0
178823595019600,-270.0,872.0,0,0,0,0,0
178823610954000,-270.0,872.0,0,0,0,0,0
178823627610600,-270.0,872.0,0,0,0,0,0
178823644205000,-270.0,872.0,0,0,0,0,0
178823660826600,-270.0,872.0,0,0,0,0,0
178823678128100,-270.0,872.0,0,0,0,0,0
178823694871700,-270.0,872.0,0,0,0,0,0
178823711768700,-270.0,872.0,0,0,0,0,0
178823728155600,-270.0,872.0,0,0,0,0,0
178823744477900,-270.0,872.0,0,0,0,0,0
178823761026300,-270.0,872.0,0,0,0,0,0
178823778226500,-270.0,872.0,0,0,0,0,0
178823794726600,-270.0,872.0,0,0,0,0,0
178823811229200,-270.0,872.0,0,0,0,0,0
178823827812600,-270.0,872.0,0,0,0,0,0
178823844830400,-270.0,872.0,0,0,0,0,0
178823862110200,-270.0,872.0,0,0,0,0,0
178823878181800,-270.0,872.0,0,0,0,0,0
178823894915100,-270.0,872.0,0,0,0,0,0
178823911542800,-270.0,872.0,0,0,0,0,0
178823928371200,-270.0,872.0,0,0,0,0,0
178823945026300,-270.0,872.0,0,0,0,0,0
178823961440500,-270.0,872.0,0,0,0,0,0
178823978106200,-270.0,872.0,0,0,0,0,0
178823982261300,-270.0,872.0,0,0,0,0,0
178823995012200,-270.0,872.0,0,0,0,0,0
178824005011100,-270.0,872.0,0,0,0,0,0
178824015021900,-270.0,872.0,0,0,0,0,0
178824028233000,-270.0,872.0,0,0,0,0,0
178824038230200,-270.0,872.0,0,0,0,0,0
178824048237800,-270.0,872.0,0,0,0,0,0
178824061568400,-270.0,872.0,0,0,0,0,0
178824071578000,-270.0,872.0,0,0,0,0,0
178824081601600,-270.0,872.0,0,0,0,0,0
178824094843900,-270.0,872.0,0,0,0,0,0
178824105283100,-270.0,872.0,0,0,0,0,0
178824115948100,-270.0,872.0,0,0,0,0,0
178824128060600,-270.0,872.0,0,0,0,0,0
178824138065000,-270.0,872.0,0,0,0,0,0
178824148065800,-270.0,872.0,0,0,0,0,0
178824161479600,-270.0,872.0,0,0,0,0,0
178824171487400,-270.0,872.0,0,0,0,0,0
178824182037700,-270.0,872.0,0,0,0,0,0
178824195312000,-270.0,872.0,0,0,0,0,0
178824205322200,-270.0,872.0,0,0,0,0,0
178824215327800,-270.0,872.0,0,0,0,0,0
178824228475600,-270.0,872.0,0,0,0,0,0
178824238478700,-270.0,872.0,0,0,0,0,0
178824248482000,-270.0,872.0,0,0,0,0,0
178824261757000,-270.0,872.0,0,0,0,0,0
178824271762700,-270.0,872.0,0,0,0,0,0
178824281767400,-270.0,872.0,0,0,0,0,0
178824295633500,-270.0,872.0,0,0,0,0,0
178824305634300,-270.0,872.0,0,0,0,0,0
178824315642100,-270.0,872.0,0,0,0,0,0
178824328609400,-270.0,872.0,0,0,0,0,0
178824338614000,-270.0,872.0,0,0,0,0,0
178824348618300,-270.0,872.0,0,0,0,0,0
178824361790400,-270.0,872.0,0,0,0,0,0
178824371791600,-270.0,872.0,0,0,0,0,0
178824381799200,-270.0,872.0,0,0,0,0,0
178824396254200,-270.0,872.0,0,0,0,0,0
178824406255700,-270.0,872.0,0,0,0,0,0
178824416263900,-270.0,872.0,0,0,0,0,0
178824429175900,-270.0,872.0,0,0,0,0,0
178824439225000,-270.0,872.0,0,0,0,0,0
178824449260400,-270.0,872.0,0,0,0,0,0
178824462324400,-270.0,872.0,0,0,0,0,0
178824472365800,-270.0,872.0,0,0,0,0,0
178824482362900,-270.0,872.0,0,0,0,0,0
178824495124000,-270.0,872.0,0,0,0,0,0
178824505138300,-270.0,872.0,0,0,0,0,0
178824515161800,-270.0,872.0,0,0,0,0,0
178824525180700,-270.0,872.0,0,0,0,0,0
178824535181300,-270.0,872.0,0,0,0,0,0
178824545331700,-270.0,872.0,0,0,0,0,0
178824555334600,-270.0,872.0,0,0,0,0,0
178824565608600,-270.0,872.0,0,0,0,0,0
178824575905100,-270.0,872.0,0,0,0,0,0
178824585906400,-270.0,872.0,0,0,0,0,0
178824595954100,-270.0,872.0,0,0,0,0,0
178824605957800,-270.0,872.0,0,0,0,0,0
178824616819400,-270.0,872.0,0,0,0,0,0
178824628668500,-270.0,872.0,0,0,0,0,0
178824638671600,-270.0,872.0,0,0,0,0,0
178824648681500,-270.0,872.0,0,0,0,0,0
178824658684500,-270.0,872.0,0,0,0,0,0
178824668690400,-270.0,872.0,0,0,0,0,0
178824679364900,-270.0,872.0,0,0,0,0,0
178824689368300,-270.0,872.0,0,0,0,0,0
178824699376800,-270.0,872.0,0,0,0,0,0
178824709381400,-270.0,872.0,0,0,0,0,0
178824719430300,-270.0,872.0,0,0,0,0,0
178824731581800,-270.0,872.0,0,0,0,0,0
178824741579000,-270.0,872.0,0,0,0,0,0
178824751582700,-270.0,872.0,0,0,0,0,0
178824762263700,-270.0,872.0,0,0,0,0,0
178824772268800,-270.0,872.0,0,0,0,0,0
178824782277300,-270.0,872.0,0,0,0,0,0
178824792288800,-270.0,872.0,0,0,0,0,0
178824802297400,-270.0,872.0,0,0,0,0,0
178824812311200,-270.0,872.0,0,0,0,0,0
178824822502300,-270.0,872.0,0,0,0,0,0
178824832505200,-270.0,872.0,0,0,0,0,0
178824842507600,-270.0,872.0,0,0,0,0,0
178824852511800,-270.0,872.0,0,0,0,0,0
178824878937600,-270.0,872.0,0,0,0,0,0
178824896485600,-270.0,872.0,0,0,0,0,0
178824912746400,-270.0,872.0,0,0,0,0,0
178824929350400,-270.0,872.0,0,0,0,0,0
178824946458600,-270.0,872.0,0,0,0,0,0
