host_timestamp,x,y,z,in_range,touch,pressure,reset
178892862170000,-96.0,698.0,0,0,0,0,0
178892879711500,-96.0,698.0,0,0,0,0,0
178892895395300,-96.0,698.0,0,0,0,0,0
178892911899800,-96.0,698.0,0,0,0,0,0
178892930788600,-96.0,698.0,0,0,0,0,0
178892947516600,-96.0,698.0,0,0,0,0,0
178892965585400,-96.0,698.0,0,0,0,0,0
178892983329000,-96.0,698.0,0,0,0,0,0
178892998983900,-96.0,698.0,0,0,0,0,0
178893015491200,-96.0,698.0,0,0,0,0,0
178893033563800,-96.0,698.0,0,0,0,0,0
178893049361500,-96.0,698.0,0,0,0,0,0
178893066975300,-96.0,698.0,0,0,0,0,0
178893082565900,-96.0,698.0,0,0,0,0,0
178893098795500,-96.0,698.0,0,0,0,0,0
178893116474200,-96.0,698.0,0,0,0,0,0
178893131402400,-96.0,698.0,0,0,0,0,0
178893146775600,-96.0,698.0,0,0,0,0,0
178893163955800,-96.0,698.0,0,0,0,0,0
178893181330300,-96.0,698.0,0,0,0,0,0
178893196264800,-96.0,698.0,0,0,0,0,0
178893212311400,-96.0,698.0,0,0,0,0,0
178893227770000,-96.0,698.0,0,0,0,0,0
178893244551200,-96.0,698.0,0,0,0,0,0
178893263652800,-96.0,698.0,0,0,0,0,0
178893280670200,-96.0,698.0,0,0,0,0,0
178893299540500,-96.0,698.0,0,0,0,0,0
178893313030900,-96.0,698.0,0,0,0,0,0
178893330048500,-96.0,698.0,0,0,0,0,0
178893345340400,-96.0,698.0,0,0,0,0,0
178893361929600,-96.0,698.0,0,0,0,0,0
178893380277200,-96.0,698.0,0,0,0,0,0
178893396096300,-96.0,698.0,0,0,0,0,0
178893411971900,-96.0,698.0,0,0,0,0,0
178893429050900,-96.0,698.0,0,0,0,0,0
178893445974100,-96.0,698.0,0,0,0,0,0
178893462740500,-96.0,698.0,0,0,0,0,0
178893478509400,-96.0,698.0,0,0,0,0,0
178893494946200,-96.0,698.0,0,0,0,0,0
178893513201200,-96.0,698.0,0,0,0,0,0
178893529007200,-96.0,698.0,0,0,0,0,0
178893545888100,-96.0,698.0,0,0,0,0,0
178893564186800,-96.0,698.0,0,0,0,0,0
178893578753600,-96.0,698.0,0,0,0,0,0
178893595946800,-96.0,698.0,0,0,0,0,0
178893611726300,-96.0,698.0,0,0,0,0,0
178893621818000,-96.0,698.0,0,0,0,0,0
178893631813200,-96.0,698.0,0,0,0,0,0
178893646574800,-96.0,698.0,0,0,0,0,0
178893663153500,-96.0,698.0,0,0,0,0,0
178893679415100,-96.0,698.0,0,0,0,0,0
178893689417300,-96.0,698.0,0,0,0,0,0
178893699422200,-96.0,698.0,0,0,0,0,0
178893712114800,-96.0,698.0,0,0,0,0,0
178893722114800,-96.0,698.0,0,0,0,0,0
178893733110200,-96.0,698.0,0,0,0,0,0
178893746515900,-96.0,698.0,0,0,0,0,0
178893763080500,-96.0,698.0,0,0,0,0,0
178893778261100,-96.0,698.0,0,0,0,0,0
178893783173200,-96.0,698.0,0,0,0,0,0
178893797411300,-96.0,698.0,0,0,0,0,0
178893848396100,-96.0,698.0,0,0,0,0,0
178893848727800,-96.0,698.0,0,0,0,0,0
178893862508000,-96.0,698.0,0,0,0,0,0
178893880095300,-96.0,698.0,0,0,0,0,0
178893898079400,-96.0,698.0,0,0,0,0,0
178893914230500,-96.0,698.0,0,0,0,0,0
178893933625600,-96.0,698.0,0,0,0,0,0
178893946279100,-96.0,698.0,0,0,0,0,0
178893965434700,-96.0,698.0,0,0,0,0,0
178893980198500,-96.0,698.0,0,0,0,0,0
178893997526100,-96.0,698.0,0,0,0,0,0
178894013099200,-96.0,698.0,0,0,0,0,0
178894028953300,-96.0,698.0,0,0,0,0,0
178894046181800,-96.0,698.0,0,0,0,0,0
178894062976100,-96.0,698.0,0,0,0,0,0
178894080625200,-96.0,698.0,0,0,0,0,0
178894096815400,-96.0,698.0,0,0,0,0,0
178894113359700,-96.0,698.0,0,0,0,0,0
178894129846900,-96.0,698.0,0,0,0,0,0
178894145619400,-96.0,698.0,0,0,0,0,0
178894163312700,-96.0,698.0,0,0,0,0,0
178894180210900,-96.0,698.0,0,0,0,0,0
178894195402700,-96.0,698.0,0,0,0,0,0
178894211238100,-96.0,698.0,0,0,0,0,0
178894228999600,-96.0,698.0,0,0,0,0,0
178894245414400,-96.0,698.0,0,0,0,0,0
178894261569700,-96.0,698.0,0,0,0,0,0
178894278261500,-96.0,698.0,0,0,0,0,0
178894294176800,-96.0,698.0,0,0,0,0,0
178894312701300,-96.0,698.0,0,0,0,0,0
178894328398500,-96.0,698.0,0,0,0,0,0
178894345421700,-96.0,698.0,0,0,0,0,0
178894361796400,-96.0,698.0,0,0,0,0,0
178894379075100,-96.0,698.0,0,0,0,0,0
178894395844400,-96.0,698.0,0,0,0,0,0
178894411844600,-96.0,698.0,0,0,0,0,0
178894428488200,-96.0,698.0,0,0,0,0,0
178894445029800,-96.0,698.0,0,0,0,0,0
178894461555300,-96.0,698.0,0,0,0,0,0
178894478030000,-96.0,698.0,0,0,0,0,0
178894494916800,-96.0,698.0,0,0,0,0,0
178894511656900,-96.0,698.0,0,0,0,0,0
178894528038600,-96.0,698.0,0,0,0,0,0
178894545699700,-96.0,698.0,0,0,0,0,0
178894562631100,-96.0,698.0,0,0,0,0,0
178894578610900,-96.0,698.0,0,0,0,0,0
178894595462700,-96.0,698.0,0,0,0,0,0
178894613248400,-96.0,698.0,0,0,0,0,0
178894629825500,-96.0,698.0,0,0,0,0,0
178894645288100,-96.0,698.0,0,0,0,0,0
178894662061500,-96.0,698.0,0,0,0,0,0
178894678904600,-96.0,698.0,0,0,0,0,0
178894695452500,-96.0,698.0,0,0,0,0,0
178894711160300,-96.0,698.0,0,0,0,0,0
178894729227600,-96.0,698.0,0,0,0,0,0
178894746801600,-96.0,698.0,0,0,0,0,0
178894762667100,-96.0,698.0,0,0,0,0,0
178894779285800,-96.0,698.0,0,0,0,0,0
178894795093300,-96.0,698.0,0,0,0,0,0
178894811850900,-96.0,698.0,0,0,0,0,0
178894828700200,-96.0,698.0,0,0,0,0,0
178894844977500,-96.0,698.0,0,0,0,0,0
178894862821100,-96.0,698.0,0,0,0,0,0
178894878935500,-96.0,698.0,0,0,0,0,0
178894895697400,-96.0,698.0,0,0,0,0,0
178894913030300,-96.0,698.0,0,0,0,0,0
178894930486200,-96.0,698.0,0,0,0,0,0
178894945596100,-96.0,698.0,0,0,0,0,0
178894962431600,-96.0,698.0,0,0,0,0,0
178894978880000,-96.0,698.0,0,0,0,0,0
178894995243600,-96.0,698.0,0,0,0,0,0
178895012253500,-96.0,698.0,0,0,0,0,0
178895029246500,-96.0,698.0,0,0,0,0,0
178895046654800,-96.0,698.0,0,0,0,0,0
178895062806400,-96.0,698.0,0,0,0,0,0
178895079452900,-96.0,698.0,0,0,0,0,0
178895096432200,-96.0,698.0,0,0,0,0,0
178895112008100,-96.0,698.0,0,0,0,0,0
178895128690000,-96.0,698.0,0,0,0,0,0
178895145593600,-96.0,698.0,0,0,0,0,0
178895162846900,-96.0,698.0,0,0,0,0,0
178895179557300,-96.0,698.0,0,0,0,0,0
178895196167700,-96.0,698.0,0,0,0,0,0
178895212936300,-96.0,698.0,0,0,0,0,0
178895229847300,-96.0,698.0,0,0,0,0,0
178895246027200,-96.0,698.0,0,0,0,0,0
178895262583100,-96.0,698.0,0,0,0,0,0
178895279559200,-96.0,698.0,0,0,0,0,0
178895295853400,-96.0,698.0,0,0,0,0,0
178895312347900,-96.0,698.0,0,0,0,0,0
178895329199500,-96.0,698.0,0,0,0,0,0
178895332374800,-96.0,698.0,0,0,0,0,0
178895346479300,-96.0,698.0,0,0,0,0,0
178895362804700,-96.0,698.0,0,0,0,0,0
178895372808500,-96.0,698.0,0,0,0,0,0
178895382811600,-96.0,698.0,0,0,0,0,0
178895396694200,-96.0,698.0,0,0,0,0,0
178895413232900,-96.0,698.0,0,0,0,0,0
178895423313100,-96.0,698.0,0,0,0,0,0
178895433316000,-96.0,698.0,0,0,0,0,0
178895447015000,-96.0,698.0,0,0,0,0,0
178895462662200,-96.0,698.0,0,0,0,0,0
178895472663000,-96.0,698.0,0,0,0,0,0
178895482666200,-96.0,698.0,0,0,0,0,0
178895495844300,-96.0,698.0,0,0,0,0,0
178895505853200,-96.0,698.0,0,0,0,0,0
178895515915300,-96.0,698.0,0,0,0,0,0
178895529143700,-96.0,698.0,0,0,0,0,0
178895539156200,-96.0,698.0,0,0,0,0,0
178895549535000,-96.0,698.0,0,0,0,0,0
178895562932300,-96.0,698.0,0,0,0,0,0
178895573449100,-96.0,698.0,0,0,0,0,0
178895583453000,-96.0,698.0,0,0,0,0,0
178895596274500,-96.0,698.0,0,0,0,0,0
178895606280100,-96.0,698.0,0,0,0,0,0
178895616954700,-96.0,698.0,0,0,0,0,0
178895630133100,-96.0,698.0,0,0,0,0,0
178895640142400,-96.0,698.0,0,0,0,0,0
178895650155000,-96.0,698.0,0,0,0,0,0
178895662582700,-96.0,698.0,0,0,0,0,0
178895672586800,-96.0,698.0,0,0,0,0,0
178895682598400,-96.0,698.0,0,0,0,0,0
178895695712500,-96.0,698.0,0,0,0,0,0
178895705724500,-96.0,698.0,0,0,0,0,0
178895715777700,-96.0,698.0,0,0,0,0,0
178895731068100,-96.0,698.0,0,0,0,0,0
