host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,temperature
10654054851400,23025,-9.7615,-0.0419,-0.7968,0.0122,-0.0770,-0.0403,20.57
10654066447100,23037,-9.7615,-0.0419,-0.8040,0.0110,-0.0867,-0.0464,20.57
10654078957800,23048,-9.7555,-0.0371,-0.7908,0.0110,-0.0892,-0.0525,20.57
10654089069800,23059,-9.7639,-0.0479,-0.7813,0.0086,-0.0831,-0.0586,20.57
10654100280600,23071,-9.7771,-0.0682,-0.7825,0.0122,-0.0880,-0.0525,20.59
10654112763900,23082,-9.7663,-0.0562,-0.7741,0.0183,-0.0965,-0.0391,20.59
10654123749000,23093,-9.7567,-0.0455,-0.7693,0.0183,-0.0990,-0.0379,20.59
10654134379100,23105,-9.7651,-0.0550,-0.7681,0.0134,-0.0965,-0.0415,20.59
10654145405100,23116,-9.7687,-0.0562,-0.7645,0.0122,-0.0880,-0.0440,20.55
10654157157000,23127,-9.7591,-0.0622,-0.7717,0.0073,-0.0831,-0.0489,20.57
10654168725200,23139,-9.7675,-0.0610,-0.7669,0.0061,-0.0831,-0.0513,20.57
10654180771800,23150,-9.7591,-0.0658,-0.7633,0.0086,-0.0831,-0.0489,20.57
10654191446900,23161,-9.7627,-0.0682,-0.7490,0.0122,-0.0843,-0.0476,20.57
10654202395900,23173,-9.7687,-0.0670,-0.7250,0.0159,-0.0709,-0.0415,20.59
10654214348100,23184,-9.7663,-0.0754,-0.7107,0.0195,-0.0501,-0.0379,20.59
10654225891300,23195,-9.7747,-0.0802,-0.7226,0.0208,-0.0293,-0.0318,20.56
10654236605800,23207,-9.7651,-0.0742,-0.7717,0.0232,-0.0232,-0.0281,20.54
10654247760800,23218,-9.7687,-0.0754,-0.7920,0.0220,-0.0342,-0.0281,20.54
10654259905700,23229,-9.7675,-0.0718,-0.7992,0.0220,-0.0538,-0.0293,20.56
10654270913300,23241,-9.7591,-0.0658,-0.7920,0.0195,-0.0709,-0.0293,20.56
10654281970100,23252,-9.7603,-0.0658,-0.7825,0.0171,-0.0819,-0.0305,20.57
10654294291700,23263,-9.7675,-0.0646,-0.7597,0.0183,-0.0831,-0.0305,20.57
10654305054800,23275,-9.7675,-0.0562,-0.7394,0.0195,-0.0696,-0.0305,20.59
10654315682700,23286,-9.7687,-0.0502,-0.7549,0.0208,-0.0562,-0.0318,20.59
10654328181300,23297,-9.7615,-0.0574,-0.7705,0.0195,-0.0586,-0.0391,20.56
10654338940400,23309,-9.7591,-0.0634,-0.7825,0.0183,-0.0660,-0.0440,20.57
10654349882700,23320,-9.7627,-0.0933,-0.7992,0.0183,-0.0904,-0.0428,20.57
10654361695400,23331,-9.7675,-0.1029,-0.7872,0.0281,-0.1173,-0.0281,20.55
10654372827400,23342,-9.7627,-0.0826,-0.7466,0.0305,-0.1222,-0.0195,20.55
10654383571900,23354,-9.7711,-0.0670,-0.7035,0.0293,-0.1038,-0.0208,20.54
10654396112600,23365,-9.7795,-0.0491,-0.6843,0.0257,-0.0684,-0.0269,20.54
10654406817000,23376,-9.7723,-0.0718,-0.7501,0.0171,-0.0257,-0.0403,20.54
10654417689300,23388,-9.7663,-0.0790,-0.7813,0.0195,-0.0415,-0.0391,20.57
10654429776300,23399,-9.7675,-0.0790,-0.7932,0.0232,-0.0684,-0.0354,20.57
10654441361100,23410,-9.7651,-0.0802,-0.7980,0.0244,-0.0953,-0.0342,20.56
10654451465800,23422,-9.7639,-0.0802,-0.7872,0.0232,-0.1185,-0.0293,20.56
10654463500100,23433,-9.7651,-0.0706,-0.7561,0.0244,-0.1319,-0.0269,20.55
10654474781300,23444,-9.7711,-0.0706,-0.7202,0.0220,-0.1246,-0.0293,20.55
10654485167400,23456,-9.7747,-0.0778,-0.6975,0.0208,-0.1014,-0.0293,20.55
10654496855300,23467,-9.7723,-0.0610,-0.7155,0.0195,-0.0745,-0.0342,20.57
10654509052000,23478,-9.7735,-0.0766,-0.7155,0.0183,-0.0770,-0.0354,20.57
10654519250300,23490,-9.7759,-0.0802,-0.7298,0.0183,-0.0892,-0.0318,20.54
10654531845600,23501,-9.7687,-0.0718,-0.7466,0.0171,-0.1136,-0.0305,20.54
10654542031800,23512,-9.7663,-0.0718,-0.7418,0.0086,-0.1405,-0.0354,20.55
10654553384500,23524,-9.7687,-0.0861,-0.7370,0.0061,-0.1649,-0.0354,20.55
10654564778600,23535,-9.7663,-0.0969,-0.7178,0.0134,-0.1833,-0.0269,20.54
10654576572700,23546,-9.7771,-0.0706,-0.6221,0.0171,-0.1649,-0.0232,20.54
10654587517800,23558,-9.7759,-0.0634,-0.5922,0.0171,-0.1295,-0.0244,20.54
10654598891000,23569,-9.7783,-0.0574,-0.5815,0.0159,-0.0880,-0.0269,20.57
10654610204400,23580,-9.7807,-0.0562,-0.5922,0.0171,-0.0489,-0.0293,20.57
10654621527600,23592,-9.7771,-0.0658,-0.6269,0.0183,-0.0269,-0.0330,20.52
10654632796800,23603,-9.7699,-0.0814,-0.6640,0.0232,-0.0305,-0.0293,20.52
10654644805800,23614,-9.7783,-0.0921,-0.6808,0.0305,-0.0501,-0.0220,20.57
10654656313900,23626,-9.7807,-0.0826,-0.6760,0.0293,-0.0696,-0.0183,20.57
10654666516300,23637,-9.7771,-0.0634,-0.6413,0.0195,-0.0672,-0.0318,20.55
10654678430700,23648,-9.7747,-0.0790,-0.6389,0.0195,-0.0550,-0.0354,20.57
10654690500300,23660,-9.7699,-0.0826,-0.6401,0.0220,-0.0440,-0.0318,20.57
10654700655300,23671,-9.7711,-0.0766,-0.6592,0.0257,-0.0415,-0.0281,20.54
10654712697300,23682,-9.7747,-0.0658,-0.6867,0.0281,-0.0538,-0.0232,20.54
10654723956600,23694,-9.7783,-0.0562,-0.6939,0.0281,-0.0782,-0.0195,20.53
10654734467300,23705,-9.7795,-0.0443,-0.6676,0.0244,-0.0941,-0.0244,20.53
10654746281800,23716,-9.7795,-0.0634,-0.6425,0.0147,-0.0696,-0.0440,20.56
10654758209100,23728,-9.7735,-0.0766,-0.6724,0.0134,-0.0672,-0.0452,20.57
10654768662300,23739,-9.7747,-0.0814,-0.6903,0.0134,-0.0867,-0.0440,20.57
10654781236800,23750,-9.7819,-0.0873,-0.6688,0.0122,-0.1087,-0.0415,20.55
10654792478500,23762,-9.7783,-0.0945,-0.6329,0.0049,-0.1210,-0.0342,20.55
10654802822800,23773,-9.7783,-0.0921,-0.6030,0.0098,-0.1136,-0.0293,20.55
10654814706000,23784,-9.7783,-0.0885,-0.5815,0.0171,-0.0965,-0.0244,20.55
10654825910900,23796,-9.7783,-0.0873,-0.5838,0.0232,-0.0757,-0.0208,20.57
10654837005500,23807,-9.7795,-0.0526,-0.5898,0.0293,-0.0391,-0.0244,20.57
10654848294800,23818,-9.7771,-0.0479,-0.6126,0.0269,-0.0232,-0.0318,20.57
10654860487900,23830,-9.7759,-0.0491,-0.6497,0.0208,-0.0257,-0.0440,20.55
10654871590500,23841,-9.7771,-0.0682,-0.6712,0.0171,-0.0452,-0.0501,20.55
10654882082900,23852,-9.7747,-0.0790,-0.6748,0.0147,-0.0709,-0.0476,20.58
10654894014900,23864,-9.7735,-0.0802,-0.6688,0.0073,-0.0929,-0.0428,20.58
10654904918700,23875,-9.7759,-0.0933,-0.6508,0.0061,-0.1026,-0.0415,20.54
10654916207600,23886,-9.7783,-0.0849,-0.6185,0.0110,-0.0965,-0.0281,20.60
10654928123300,23898,-9.7866,-0.0610,-0.5982,0.0122,-0.0916,-0.0305,20.60
10654939023000,23909,-9.7950,-0.0455,-0.5838,-0.0049,-0.0855,-0.0513,20.52
10654950419300,23920,-9.7914,-0.0562,-0.5946,-0.0195,-0.0831,-0.0684,20.52
10654961982900,23932,-9.7866,-0.0730,-0.6006,-0.0159,-0.0843,-0.0794,20.56
10654972974200,23943,-9.7735,-0.0993,-0.6042,-0.0159,-0.0892,-0.0831,20.56
10654983794900,23954,-9.7639,-0.1328,-0.6185,-0.0098,-0.0977,-0.0696,20.57
10654995196400,23966,-9.7831,-0.1041,-0.5898,0.0073,-0.1038,-0.0415,20.57
10655005788700,23977,-9.7831,-0.0909,-0.5791,0.0171,-0.0929,-0.0452,20.57
10655017139900,23988,-9.7866,-0.0885,-0.5767,0.0122,-0.0843,-0.0525,20.56
10655028894300,24000,-9.7866,-0.0897,-0.5886,0.0073,-0.0806,-0.0599,20.56
10655041119400,24011,-9.7831,-0.1137,-0.6042,0.0134,-0.0843,-0.0611,20.58
10655052407000,24022,-9.7747,-0.1292,-0.6054,0.0269,-0.0929,-0.0501,20.58
10655063394000,24034,-9.7807,-0.1184,-0.5838,0.0367,-0.0990,-0.0391,20.57
10655075294700,24045,-9.7854,-0.1077,-0.5647,0.0415,-0.0941,-0.0391,20.57
10655086203800,24056,-9.7735,-0.1364,-0.5695,0.0269,-0.0867,-0.0269,20.55
10655098436800,24068,-9.7771,-0.1292,-0.5731,0.0183,-0.0941,-0.0159,20.56
10655109822500,24079,-9.7926,-0.1196,-0.5731,-0.0037,-0.1038,-0.0220,20.56
10655120627900,24091,-9.7890,-0.1244,-0.5850,-0.0024,-0.1148,-0.0171,20.55
10655131510900,24102,-9.7675,-0.1256,-0.5767,0.0073,-0.1307,-0.0098,20.55
10655142554100,24113,-9.7723,-0.1196,-0.5384,0.0318,-0.1319,0.0000,20.55
10655154559100,24124,-9.7926,-0.0933,-0.5025,0.0403,-0.1185,0.0073,20.55
10655165669400,24136,-9.7902,-0.0790,-0.5001,0.0330,-0.0855,0.0049,20.61
10655177326300,24147,-9.7950,-0.0909,-0.5180,0.0305,-0.0721,-0.0037,20.57
10655188751900,24158,-9.7854,-0.1364,-0.5527,0.0403,-0.0684,0.0012,20.57
10655199492100,24170,-9.7807,-0.1268,-0.5587,0.0611,-0.0745,0.0159,20.59
10655211480300,24181,-9.8225,-0.2022,-0.5228,0.0696,-0.0892,0.0159,20.59
10655222302200,24192,-9.7914,-0.0969,-0.5013,0.0806,-0.1710,-0.0122,20.53
10655233359400,24204,-9.7843,-0.0873,-0.4403,0.0611,-0.1124,0.0171,20.53
10655245295700,24215,-9.7926,-0.0610,-0.4977,0.0538,-0.1466,-0.0086,20.58
10655256286100,24226,-9.8034,-0.1017,-0.4690,0.0672,-0.0953,-0.0073,20.60
10655267423300,24238,-9.7926,-0.0778,-0.4953,0.0757,-0.1136,-0.0171,20.60
10655279401800,24249,-9.7926,-0.1149,-0.4810,0.0684,-0.1112,-0.0208,20.59
10655290260600,24260,-9.7938,-0.0885,-0.4845,0.0599,-0.1307,-0.0183,20.59
10655301647100,24272,-9.7890,-0.0706,-0.5097,0.0476,-0.1442,-0.0220,20.57
10655313283300,24283,-9.7831,-0.0407,-0.5180,0.0415,-0.1710,-0.0159,20.57
10655324226200,24294,-9.7914,-0.0024,-0.4953,0.0403,-0.1564,-0.0061,20.58
10655335834900,24306,-9.7938,-0.1711,-0.4164,0.0586,-0.1710,-0.0281,20.60
10655347270400,24317,-9.8010,-0.2118,-0.3948,0.0574,-0.1662,-0.0269,20.60
10655358373500,24328,-9.7986,-0.1077,-0.3984,0.0464,-0.1576,-0.0293,20.60
10655369230800,24340,-9.7974,0.0287,-0.3685,0.0562,-0.1307,-0.0122,20.60
10655381223900,24351,-9.7926,-0.0383,-0.3769,0.0391,-0.1148,-0.0342,20.55
10655392134100,24362,-9.7938,-0.1196,-0.4080,0.0476,-0.1173,-0.0195,20.55
10655403379700,24374,-9.8034,-0.0407,-0.3972,0.0379,-0.1185,-0.0269,20.58
10655415136700,24385,-9.7926,0.0502,-0.3817,0.0379,-0.1136,-0.0195,20.58
10655426486700,24396,-9.8046,0.0622,-0.3326,0.0195,-0.0880,-0.0244,20.56
10655437580100,24408,-9.7878,-0.0526,-0.3529,0.0159,-0.0806,-0.0305,20.57
10655448860100,24419,-9.7938,-0.0658,-0.3529,0.0159,-0.0770,-0.0257,20.57
10655460899000,24430,-9.8070,-0.0658,-0.3577,0.0183,-0.0709,-0.0220,20.56
10655472281900,24442,-9.8022,-0.0670,-0.3661,0.0220,-0.0696,-0.0183,20.56
10655483106000,24453,-9.8034,-0.0646,-0.3709,0.0244,-0.0745,-0.0171,20.56
10655494757100,24464,-9.7974,-0.1161,-0.3864,0.0232,-0.0770,-0.0183,20.56
10655506051900,24476,-9.7974,-0.3015,-0.4834,0.0648,-0.0684,-0.0208,20.53
10655516933600,24487,-9.7974,-0.2333,-0.4881,0.0489,-0.0684,-0.0159,20.55
10655529237700,24498,-9.7854,-0.2022,-0.4953,0.0269,-0.0672,-0.0195,20.55
10655540472600,24510,-9.7866,-0.2237,-0.4834,0.0379,-0.0550,-0.0244,20.56
10655550951600,24521,-9.8082,-0.0885,-0.3924,0.0452,-0.0574,-0.0171,20.56
10655562757900,24532,-9.8130,-0.0096,-0.3338,0.0464,-0.0513,-0.0171,20.56
