host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
63949795980,461.036,-8.5639,2.9049,4.2245,0.0122,0.0232,0.0159,1182.93797207599,558.6802471961547,0.0,1,1.0,11456.0,0
63949907221,461.047,-8.6369,2.9635,4.4028,0.1637,0.1906,0.1161,1182.93797207599,558.6802471961547,0.0,1,1.0,9952.0,0
63950022981,461.058,-9.003,3.1908,4.9484,0.3775,0.4911,0.2053,1182.93797207599,558.6802471961547,0.0,1,1.0,9952.0,0
63950136210,461.07,-8.6082,3.2865,5.1972,0.7892,0.9737,0.6109,1182.2348363469905,552.637674525063,0.0,1,1.0,11008.0,0
63950257004,461.081,-8.2505,3.7842,4.2461,1.4551,1.9438,0.5009,1180.3598077363242,531.7450217441062,0.0,1,1.0,17407.0,0
63950369540,461.092,-8.1033,4.2078,3.3978,1.3476,2.1783,0.5205,1180.3598077363242,531.7450217441062,0.0,1,1.0,17407.0,0
63950481729,461.104,-8.1488,4.3262,2.8427,0.9859,2.2541,0.5009,1180.3598077363242,531.7450217441062,0.0,1,1.0,17407.0,0
63950599965,461.115,-8.1823,4.2365,2.3366,0.6854,2.1356,0.4142,1180.3598077363242,531.7450217441062,0.0,1,1.0,17407.0,0
63950709001,461.12600000000003,-8.3498,4.0774,1.4656,0.4374,1.8265,0.2908,1180.3598077363242,531.7450217441062,0.0,1,1.0,17407.0,0
63950821925,461.13800000000003,-8.5974,3.9182,0.8638,0.2761,1.3085,0.1552,1180.3598077363242,531.7450217441062,0.0,1,1.0,17407.0,0
63950937184,461.149,-8.6381,3.7759,1.1426,0.237,0.7672,0.0415,1180.3598077363242,531.7450217441062,0.0,1,1.0,17407.0,0
63951050232,461.16,-8.5831,3.7687,1.9442,0.2199,0.1478,-0.0232,1180.3598077363242,531.7450217441062,0.0,1,1.0,17407.0,0
63951161537,461.172,-8.6178,3.9027,2.2409,0.237,-0.0159,-0.0195,1168.5236896314946,435.48500801098646,0.0,1,1.0,24799.0,0
63951281218,461.183,-8.6297,4.1097,2.4012,0.2724,-0.0318,-0.0257,1168.4650949874112,431.4566262302586,0.0,1,1.0,24799.0,0
63951387395,461.194,-8.6501,4.2796,1.3831,0.1943,-0.121,-0.0415,1168.4650949874112,431.4566262302586,0.0,1,1.0,24799.0,0
