host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
65350256768,601.08,-8.1858,3.2913,4.3633,-0.077,-0.1539,0.0965,1234.7942320897232,396.0801098649577,0.0,1,1.0,11616.0,0
65350366768,601.092,-8.0602,3.4193,4.4411,-0.2492,-0.1662,0.1197,1234.7942320897232,396.0801098649577,0.0,1,1.0,16895.0,0
65350483362,601.1030000000001,-8.0518,3.4373,4.3513,-0.3934,-0.1772,0.1552,1228.3488212405584,398.6802471961547,0.0,1,1.0,19231.0,0
65350596706,601.114,-8.1224,3.4373,4.3047,-0.5437,-0.1845,0.2028,1226.0636301213092,399.00984206912335,0.0,1,1.0,20159.0,0
65350715086,601.126,-8.278,3.5055,4.3346,-0.6854,-0.1808,0.2492,1223.1924925612268,399.1197070267796,0.0,1,1.0,21343.0,0
65350831320,601.1370000000001,-8.4096,3.3368,4.3549,-0.8528,-0.1429,0.2871,1223.1924925612268,399.1197070267796,0.0,1,1.0,21343.0,0
65350939810,601.148,-8.6704,2.7553,4.8156,-0.981,0.0794,0.5143,1212.0009155413138,398.4971389333944,0.0,1,1.0,25727.0,0
65351055879,601.16,-8.8235,2.3234,4.9998,-0.8968,0.2822,0.6414,1202.2156099794004,394.0659189745937,0.0,1,1.0,27775.0,0
65351173692,601.171,-8.8786,1.7898,5.2499,-0.7294,0.4899,0.7404,1202.2156099794004,394.0659189745937,0.0,1,1.0,27775.0,0
65351278307,601.183,-8.936,1.1605,5.4341,-0.4508,0.6866,0.7844,1190.789654383154,385.3499656672008,0.0,1,1.0,28735.0,0
65351394847,601.194,-8.9575,0.7131,5.4748,-0.0428,0.7685,0.7135,1179.3051041428246,372.6422522316319,0.0,1,1.0,29471.0,0
65351512560,601.205,-8.8834,0.682,5.6375,0.2566,0.8259,0.6585,1170.1643396658276,358.6527809567407,0.0,1,1.0,30751.0,0
65351624097,601.217,-8.7673,1.0421,5.5549,0.5632,0.9383,0.6145,1170.1643396658276,358.6527809567407,0.0,1,1.0,30751.0,0
65351739606,601.2280000000001,-8.6441,1.407,5.147,0.7831,0.9798,0.5644,1164.6564431219958,338.84046692607,0.0,1,1.0,32479.0,0
65351851595,601.239,-8.5017,1.2239,5.4509,1.2376,1.0116,0.4753,1165.7697413595788,327.4877546349279,0.0,1,1.0,32960.0,0
65351961132,601.251,-8.473,1.5135,5.1948,1.5577,1.0287,0.4142,1165.7697413595788,327.4877546349279,0.0,1,1.0,32960.0,0
65352074703,601.2620000000001,-8.534,2.2313,4.4578,1.8289,0.9823,0.3262,1171.2190432593272,318.6619363698788,0.0,1,1.0,33313.0,0
65352196948,601.273,-8.5854,3.0676,3.673,1.9597,0.8528,0.1833,1179.1293202105746,312.8024719615473,0.0,1,1.0,33409.0,0
65352307816,601.285,-8.4826,3.7591,2.9671,1.9523,0.672,0.022,1179.1293202105746,312.8024719615473,0.0,1,1.0,33409.0,0
65352415679,601.296,-8.3988,4.416,2.1224,1.8289,0.4032,-0.1344,1196.004577706569,310.6784161135272,0.0,1,1.0,33570.0,0
65352532621,601.307,-8.3964,4.8287,1.5793,1.5834,0.0586,-0.2908,1209.1883726253147,314.1208514534219,0.0,1,1.0,34179.0,0
65352647788,601.319,-8.0483,6.1974,1.4261,0.865,-0.3971,-0.3714,1209.1883726253147,314.1208514534219,0.0,1,1.0,34179.0,0
65352757951,601.33,-7.8257,6.95,1.3567,0.2908,-0.4826,-0.3286,1222.313572899977,321.07896543831544,0.0,1,1.0,34884.0,0
65352872632,601.341,-7.8437,6.7023,2.0937,-0.226,-0.4362,-0.2248,1233.622339208057,328.43991760128176,0.0,1,1.0,34820.0,0
65352986099,601.3530000000001,-8.3845,5.318,2.6704,-0.5754,-0.3323,-0.1417,1233.622339208057,328.43991760128176,0.0,1,1.0,34820.0,0
65353093785,601.364,-10.0834,3.5186,2.9372,-0.7367,-0.3372,0.0819,1239.4818036163883,333.42046234836346,0.0,1,1.0,23743.0,0
65353211826,601.375,-11.2929,2.2816,3.5294,-0.5412,-0.4032,0.4105,1236.5520714122226,332.90775921263446,0.0,1,1.0,3776.0,0
