host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
66614686325,727.5210000000001,-8.4431,1.4309,4.9101,0.0574,-0.0489,-0.0134,1102.5754177157244,454.3268482490273,0.0,1,1.0,14144.0,0
66614800305,727.533,-8.3629,1.3376,5.1829,0.1454,-0.088,-0.0171,1102.5754177157244,454.3268482490273,0.0,1,1.0,14144.0,0
66614927280,727.544,-8.4526,1.5589,5.6698,0.3519,-0.0086,0.0293,1102.5754177157244,454.3268482490273,0.0,1,1.0,22943.0,0
66615034338,727.556,-8.4514,1.4931,5.6865,0.4655,0.0721,-0.0049,1102.5754177157244,454.3268482490273,0.0,1,1.0,22943.0,0
66615150654,727.567,-8.3701,1.4859,5.318,0.5376,0.0929,-0.0281,1101.0519569695582,453.0817120622569,0.0,1,1.0,24447.0,0
66615268826,727.578,-8.3198,1.5876,5.1709,0.5986,0.0648,-0.0586,1103.688715953307,453.0817120622569,0.0,1,1.0,28191.0,0
66615372437,727.59,-8.3055,1.7731,5.1517,0.6109,0.0354,-0.1222,1103.688715953307,453.0817120622569,0.0,1,1.0,28191.0,0
66615486639,727.601,-8.2684,1.7683,5.1194,0.6231,-0.0147,-0.1796,1110.7200732433053,454.2536049439232,0.0,1,1.0,31775.0,0
66615606477,727.612,-8.1763,1.9322,5.2092,0.6671,-0.0415,-0.1759,1117.3412680247195,457.0734721904327,0.0,1,1.0,33922.0,0
66615715615,727.624,-8.0076,2.5723,5.0548,0.5705,-0.0904,-0.2077,1117.3412680247195,457.0734721904327,0.0,1,1.0,33922.0,0
66615827502,727.635,-7.9872,2.8881,5.0764,0.5229,-0.1185,-0.193,1124.1675440604258,460.8088807507439,0.0,1,1.0,34820.0,0
66615952080,727.6460000000001,-7.9358,3.2674,5.074,0.3995,-0.1429,-0.2297,1130.144197756924,464.83726253147177,0.0,1,1.0,35301.0,0
66616058745,727.658,-7.8963,3.2506,4.9591,0.2749,-0.1808,-0.2517,1130.144197756924,464.83726253147177,0.0,1,1.0,35301.0,0
66616166271,727.669,-7.8748,3.3954,4.8694,0.1759,-0.204,-0.2334,1136.706797894255,470.8798352025635,0.0,1,1.0,35846.0,0
66616289610,727.6800000000001,-7.8987,3.3858,4.8179,-0.0183,-0.2517,-0.2688,1138.933394369421,474.9448386358434,0.0,1,1.0,36231.0,0
66616401548,727.692,-7.9585,3.0437,4.8132,-0.1405,-0.2981,-0.2724,1138.933394369421,474.9448386358434,0.0,1,1.0,36231.0,0
66616511392,727.703,-7.9394,2.9743,4.8419,-0.2443,-0.347,-0.27,1138.933394369421,474.9448386358434,0.0,1,1.0,36231.0,0
66616634452,727.714,-7.9071,2.79,5.0094,-0.5266,-0.4472,-0.2651,1138.933394369421,474.9448386358434,0.0,1,1.0,36231.0,0
66616740756,727.726,-8.0674,2.5256,5.1266,-0.6377,-0.452,-0.2358,1138.933394369421,474.9448386358434,0.0,1,1.0,36231.0,0
66616847372,727.737,-8.1452,2.217,5.3001,-0.6866,-0.4191,-0.1613,1138.933394369421,474.9448386358434,0.0,1,1.0,36231.0,0
66616964572,727.748,-8.2732,2.0315,5.4221,-0.6976,-0.3482,-0.0464,1131.9020370794233,490.50904097047385,0.0,1,1.0,37481.0,0
66617079259,727.76,-8.3545,1.7204,5.5202,-0.6732,-0.2517,0.0672,1131.9020370794233,490.50904097047385,0.0,1,1.0,37481.0,0
66617187846,727.7710000000001,-8.3737,1.4417,5.6842,-0.5877,-0.1454,0.1881,1125.9839780270086,491.5710688944839,0.0,1,1.0,37353.0,0
66617313966,727.782,-8.4526,1.2945,5.7212,-0.4801,-0.0244,0.3225,1118.3959716182194,491.0583657587549,0.0,1,1.0,37128.0,0
66617419338,727.794,-8.5041,1.1318,5.4102,-0.314,0.121,0.4496,1118.3959716182194,491.0583657587549,0.0,1,1.0,37128.0,0
