host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
68053383232,871.391,-8.1404,1.742,5.2116,0.303,-0.0806,-0.0501,1139.9880979629206,550.7699702449073,0.0,1,1.0,5824.0,0
68053497316,871.402,-8.1882,1.5996,5.4664,0.2663,-0.1026,-0.0525,1139.9880979629206,550.7699702449073,0.0,1,1.0,5824.0,0
68053610207,871.413,-8.1416,1.8975,5.257,0.2199,-0.0953,-0.0305,1139.9880979629206,550.7699702449073,0.0,1,1.0,18079.0,0
68053725945,871.4250000000001,-8.0387,2.1368,5.0608,0.0941,-0.1552,-0.0574,1140.808422980087,555.3842984664683,0.0,1,1.0,20191.0,0
68053844079,871.436,-8.065,2.15,5.1601,-0.0476,-0.2089,-0.0819,1140.808422980087,556.263218127718,0.0,1,1.0,22271.0,0
68053954540,871.447,-8.0112,2.1176,5.2546,-0.16,-0.2309,-0.0806,1140.808422980087,556.263218127718,0.0,1,1.0,22271.0,0
68054065674,871.4590000000001,-7.9454,2.0076,5.3575,-0.2712,-0.2724,-0.0684,1140.2810711833372,559.1929503318837,0.0,1,1.0,25759.0,0
68054181549,871.47,-7.9956,2.1607,5.2606,-0.3433,-0.2969,-0.0525,1138.4060425726711,561.1705195696956,0.0,1,1.0,27999.0,0
68054297985,871.481,-7.9789,2.3103,5.3898,-0.5559,-0.3335,-0.0428,1138.4060425726711,561.1705195696956,0.0,1,1.0,27999.0,0
68054405311,871.493,-8.0375,1.919,5.4772,-0.7599,-0.347,0.0122,1135.593499656672,562.928358892195,0.0,1,1.0,28863.0,0
68054522250,871.504,-8.0853,1.8437,5.6076,-0.7685,-0.3274,0.088,1131.726253147173,564.1734950789654,0.0,1,1.0,29215.0,0
68054638420,871.515,-8.2768,1.6187,5.811,-0.7453,-0.2627,0.1368,1131.726253147173,564.1734950789654,0.0,1,1.0,29215.0,0
68054746245,871.527,-8.3785,1.127,5.8816,-0.606,-0.1686,0.2053,1126.5699244678417,564.3566033417258,0.0,1,1.0,29439.0,0
68054864352,871.538,-8.4359,0.6903,5.951,-0.4288,-0.0672,0.2957,1120.3588921950104,563.3678187228198,0.0,1,1.0,29567.0,0
68054974739,871.549,-8.4526,0.475,6.0658,-0.1918,0.0635,0.4569,1120.3588921950104,563.3678187228198,0.0,1,1.0,29567.0,0
68055082979,871.561,-8.4622,0.6748,6.0646,0.0134,0.2101,0.6267,1110.7200732433053,556.263218127718,0.0,1,1.0,30367.0,0
68055203878,871.572,-8.4586,0.6197,6.0012,0.4032,0.4618,0.7978,1104.8606088349736,547.8402380407416,0.0,1,1.0,31519.0,0
68055320984,871.583,-8.3904,1.1091,5.6949,0.5473,0.5547,0.8161,1104.8606088349736,547.8402380407416,0.0,1,1.0,31519.0,0
68055425574,871.595,-8.3282,1.608,5.4843,0.5657,0.5803,0.7514,1099.8214694438086,537.6044861524376,0.0,1,1.0,33153.0,0
68055544766,871.606,-8.3031,1.7348,5.5645,0.6048,0.6194,0.6805,1099.8214694438086,537.6044861524376,0.0,1,1.0,33153.0,0
68055656952,871.617,-8.3258,1.7599,5.7045,0.7074,0.7037,0.6475,1095.3682764934767,521.4543373769741,0.0,1,1.0,34628.0,0
68055767816,871.629,-8.345,1.9693,5.4078,0.7697,0.7831,0.6035,1095.3682764934767,521.4543373769741,0.0,1,1.0,34628.0,0
68055879435,871.64,-8.3366,2.016,5.0548,0.7929,0.7611,0.5131,1095.3682764934767,521.4543373769741,0.0,1,1.0,34628.0,0
68055995524,871.6510000000001,-8.1523,2.2911,5.1793,0.9334,0.8198,0.4679,1095.3682764934767,521.4543373769741,0.0,1,1.0,34628.0,0
68056107279,871.663,-8.0638,2.6752,4.9567,0.8601,0.8393,0.4753,1095.3682764934767,521.4543373769741,0.0,1,1.0,34628.0,0
68056222760,871.674,-7.9657,2.6596,4.9854,0.8051,0.8589,0.5082,1095.3682764934767,521.4543373769741,0.0,1,1.0,34628.0,0
68056338575,871.686,-7.9621,2.784,4.8335,0.8027,0.9004,0.5693,1095.3682764934767,521.4543373769741,0.0,1,1.0,34628.0,0
68056448075,871.697,-7.9992,3.1717,4.3107,0.6891,0.8638,0.5608,1095.3682764934767,521.4543373769741,0.0,1,1.0,34628.0,0
68056562895,871.708,-8.0351,3.2877,4.2174,0.5657,0.7782,0.5266,1106.2668802929732,461.1018539711605,0.0,1,1.0,37000.0,0
68056678434,871.72,-8.12,3.2148,4.392,0.4667,0.7599,0.5229,1107.2629892423895,450.3350881208514,0.0,1,1.0,37481.0,0
68056792437,871.731,-8.15,3.411,3.7268,0.3763,0.7391,0.529,1107.2629892423895,450.3350881208514,0.0,1,1.0,37481.0,0
68056904653,871.743,-8.3139,3.3643,3.5797,0.0721,0.4618,0.3787,1107.380178530556,440.0993362325474,0.0,1,1.0,37930.0,0
68057027357,871.754,-8.473,3.2794,3.7113,-0.0452,0.3103,0.2688,1107.380178530556,440.0993362325474,0.0,1,1.0,37930.0,0
68057131233,871.765,-8.6393,3.2901,3.6969,-0.1344,0.1637,0.1466,1107.380178530556,440.0993362325474,0.0,1,1.0,37930.0,0
68057241746,871.777,-8.7254,3.2315,3.7675,-0.2456,0.0024,0.0012,1105.32936598764,419.92080567635617,0.0,1,1.0,39084.0,0
68057359269,871.788,-8.6166,3.2686,4.1396,-0.2981,-0.0672,-0.0623,1104.2746623941405,416.6981002517739,0.0,1,1.0,39148.0,0
68057471401,871.799,-8.528,3.5928,3.9721,-0.3787,-0.0648,-0.1026,1104.2746623941405,416.6981002517739,0.0,1,1.0,39148.0,0
68057581025,871.8100000000001,-8.5041,4.0642,3.0006,-0.4679,-0.2065,-0.2187,1103.981689173724,415.9290455481804,0.0,1,1.0,37930.0,0
68057699738,871.822,-9.2853,2.662,4.0343,-0.3763,-0.6548,-0.4386,1103.3371480888077,416.36850537880525,0.0,1,1.0,23423.0,0
68057811242,871.833,-9.3428,2.1188,4.6816,-0.248,-0.6402,-0.2798,1103.3371480888077,416.36850537880525,0.0,1,1.0,23423.0,0
68057919760,871.844,-8.8666,1.925,4.4542,-0.1258,-0.6329,-0.1539,1102.5754177157244,419.66445410849167,0.0,1,1.0,2816.0,0
68060413529,872.094,-8.5292,1.3531,4.8287,0.226,-0.0782,-0.0843,1080.2508583199815,476.2998397802701,0.0,1,1.0,14976.0,0
68060526377,872.105,-8.534,1.5159,5.1147,0.27,-0.0709,-0.0293,1080.2508583199815,476.2998397802701,0.0,1,1.0,19999.0,0
68060641710,872.117,-8.7888,1.1833,5.4425,0.3274,-0.0147,-0.1002,1080.2508583199815,476.2998397802701,0.0,1,1.0,26719.0,0
68060757371,872.128,-9.0221,0.4738,5.9007,0.6035,0.099,-0.1466,1080.2508583199815,476.2998397802701,0.0,1,1.0,26719.0,0
68060872871,872.139,-9.1382,0.0036,6.0802,0.9468,0.2798,-0.1747,1081.3055619134814,478.4971389333944,0.0,1,1.0,28223.0,0
68060987708,872.1510000000001,-9.1167,0.1747,5.8217,1.3439,0.441,-0.1955,1093.3174639505608,480.9874113069352,0.0,1,1.0,36936.0,0
68061101802,872.162,-8.3151,2.3773,4.2377,1.4771,0.5058,-0.1307,1093.3174639505608,480.9874113069352,0.0,1,1.0,36936.0,0
68061211217,872.173,-8.0925,3.6514,3.7352,1.2205,0.3958,-0.0611,1105.9153124284733,483.4044403753719,0.0,1,1.0,41489.0,0
68061326947,872.1850000000001,-7.9298,4.6672,3.5629,0.7734,0.2517,-0.0476,1118.571755550469,485.63836118104825,0.0,1,1.0,42611.0,0
68061436754,872.196,-7.9454,5.1111,3.6239,0.2676,0.0941,-0.0122,1118.571755550469,485.63836118104825,0.0,1,1.0,42611.0,0
68061553121,872.207,-8.1236,4.7234,4.0917,-0.1637,-0.0049,0.0293,1128.2691691462578,487.02998397802696,0.0,1,1.0,42451.0,0
68061667567,872.219,-9.1825,3.5222,4.349,-0.2859,-0.0269,0.1588,1133.6012817578394,486.7003891050583,0.0,1,1.0,26207.0,0
