host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
73023928783,1368.44,-8.3318,2.1428,4.6708,0.4594,-0.0367,-0.0073,1099.1769283588922,476.2998397802701,0.0,1,1.0,10816.0,0
73024041237,1368.451,-8.4969,2.6154,4.4853,0.485,-0.0525,0.0073,1099.1769283588922,476.2998397802701,0.0,1,1.0,10816.0,0
73024156246,1368.462,-8.5005,2.8056,4.5476,0.4374,-0.055,-0.0024,1099.1769283588922,476.2998397802701,0.0,1,1.0,18655.0,0
73024272975,1368.474,-8.4,3.2004,4.252,0.3714,0.0098,0.0672,1099.1769283588922,476.2998397802701,0.0,1,1.0,20511.0,0
73024395854,1368.4850000000001,-8.6405,3.3619,4.2365,0.2847,-0.0061,0.0464,1101.403524834058,480.36484321355,0.0,1,1.0,23455.0,0
73024499248,1368.496,-8.8511,3.0102,4.7366,0.3543,0.0819,0.0037,1101.755092698558,480.36484321355,0.0,1,1.0,24959.0,0
73024618832,1368.508,-8.7529,2.4311,5.4377,0.5315,0.3567,0.1283,1102.2238498512245,479.7422751201648,0.0,1,1.0,25983.0,0
73024729295,1368.519,-8.5101,2.3115,5.5717,0.65,0.7514,0.3995,1103.3371480888077,474.0659189745937,0.0,1,1.0,29791.0,0
73024841355,1368.53,-8.2325,2.6154,5.1745,0.7746,1.0825,0.6622,1103.630121309224,469.085374227512,0.0,1,1.0,31647.0,0
73024955546,1368.542,-8.1141,2.9192,4.4375,0.8088,1.2584,0.7978,1103.630121309224,469.085374227512,0.0,1,1.0,31647.0,0
73025074932,1368.553,-8.3139,3.1178,3.6215,0.7672,1.2132,0.7978,1103.688715953307,462.6765850308996,0.0,1,1.0,32928.0,0
73025185561,1368.564,-8.4179,3.198,3.533,0.5608,0.9432,0.6671,1103.688715953307,462.6765850308996,0.0,1,1.0,32928.0,0
73025296355,1368.576,-8.455,3.3655,3.4863,0.4655,0.8173,0.584,1103.688715953307,462.6765850308996,0.0,1,1.0,32928.0,0
73025413834,1368.587,-8.4861,3.5856,3.1334,0.3396,0.661,0.496,1103.688715953307,462.6765850308996,0.0,1,1.0,32928.0,0
73025522323,1368.598,-8.4909,3.8261,3.0736,0.2395,0.4691,0.4056,1103.688715953307,462.6765850308996,0.0,1,1.0,32928.0,0
73025634793,1368.6100000000001,-8.5089,4.0307,3.1011,0.1637,0.3286,0.3176,1102.0480659189743,414.2078278782329,0.0,1,1.0,37128.0,0
73025758802,1368.621,-8.5543,4.1827,3.0736,0.0464,0.1442,0.2224,1102.0480659189743,414.2078278782329,0.0,1,1.0,37128.0,0
73025864406,1368.632,-8.6955,4.6086,3.3739,-0.0635,0.0342,0.1417,1102.0480659189743,414.2078278782329,0.0,1,1.0,37128.0,0
73025973444,1368.644,-9.1633,5.3803,0.6245,-0.4728,-0.6353,-0.452,1103.1613641565575,406.9201190203708,0.0,1,1.0,33954.0,0
73026094261,1368.655,-9.4002,4.7414,1.2012,-0.4594,-1.3402,-0.7013,1103.9230945296406,408.97093156328674,0.0,1,1.0,25343.0,0
73026202269,1368.666,-9.3224,4.1731,3.1035,-0.3897,-1.6567,-0.6475,1103.9230945296406,408.97093156328674,0.0,1,1.0,25343.0,0
73027671704,1368.814,-8.6919,1.6259,4.3872,0.171,-0.0819,-0.066,1105.32936598764,512.9947356374456,0.0,1,1.0,26655.0,0
73027784608,1368.825,-8.6632,1.5159,5.0931,0.0684,-0.055,0.0501,1105.32936598764,512.9947356374456,0.0,1,1.0,26783.0,0
73027909254,1368.837,-8.8391,1.6487,5.3827,-0.022,0.0367,0.1906,1105.32936598764,512.9947356374456,0.0,1,1.0,37385.0,0
73028017837,1368.848,-8.9683,2.083,5.2834,-0.0757,0.1979,0.3274,1105.32936598764,512.9947356374456,0.0,1,1.0,37385.0,0
73028135158,1368.859,-9.0736,2.6166,4.7091,-0.2309,0.248,0.3971,1105.9153124284733,513.4341954680705,0.0,1,1.0,37257.0,0
73028241574,1368.871,-10.6098,2.5974,3.734,-0.3311,0.1723,0.4594,1106.0910963607232,510.13824673838405,0.0,1,1.0,31935.0,0
73028356747,1368.882,-12.0682,2.193,3.1549,-0.2285,-0.3115,0.595,1106.0910963607232,510.13824673838405,0.0,1,1.0,31935.0,0
73028474193,1368.893,-8.053,0.9978,5.8995,0.3238,-0.606,0.8784,1106.0910963607232,506.7690547035935,0.0,1,1.0,4192.0,0
