host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
73806026244,1446.65,-8.388,1.0636,4.9113,0.2847,0.0831,0.0525,1106.03250171664,451.21400778210113,0.0,1,1.0,17407.0,0
73806138293,1446.661,-8.5161,2.4826,4.5141,0.2248,0.0428,0.2346,1106.03250171664,451.21400778210113,0.0,1,1.0,17407.0,0
73806255706,1446.673,-8.7709,2.4981,5.0584,0.2065,0.0965,0.2578,1106.03250171664,451.21400778210113,0.0,1,1.0,28799.0,0
73806372599,1446.684,-8.985,2.193,6.3075,0.5302,0.474,0.4056,1106.03250171664,451.21400778210113,0.0,1,1.0,28799.0,0
73806485972,1446.695,-8.7852,2.2983,6.1161,0.799,0.9749,0.595,1106.03250171664,451.21400778210113,0.0,1,1.0,29471.0,0
73806605985,1446.707,-8.5113,2.8355,4.7091,0.9676,1.2352,0.6891,1106.5012588693064,444.6404211490043,0.0,1,1.0,30687.0,0
73806716746,1446.718,-8.3246,3.3906,3.8501,0.887,1.2963,0.6854,1106.5012588693064,444.6404211490043,0.0,1,1.0,30687.0,0
73806825182,1446.729,-8.2289,3.5055,3.7196,0.7416,1.2633,0.6573,1108.1419089036392,433.1412222476539,0.0,1,1.0,33249.0,0
73806942715,1446.741,-8.1655,3.801,3.3799,0.6219,1.1338,0.5742,1111.5403982604716,412.8162050812542,0.0,1,1.0,35109.0,0
73807055238,1446.752,-8.1476,4.0283,3.0927,0.4362,1.0263,0.5205,1111.5403982604716,412.8162050812542,0.0,1,1.0,35109.0,0
73807164180,1446.763,-8.2074,4.3358,2.7541,0.3457,0.8259,0.4288,1113.7669947356376,399.37605859464406,0.0,1,1.0,35718.0,0
73807284168,1446.775,-8.1535,4.5093,2.9288,0.2346,0.6267,0.3225,1115.349050125887,387.2909132524605,0.0,1,1.0,35878.0,0
73807395929,1446.786,-8.1248,4.544,3.1346,0.1283,0.4924,0.237,1115.349050125887,387.2909132524605,0.0,1,1.0,35878.0,0
73807503901,1446.797,-8.1141,4.4985,3.1358,0.0098,0.3775,0.1881,1115.6420233463036,377.43968871595337,0.0,1,1.0,36038.0,0
73807625364,1446.809,-8.1763,4.3729,3.0975,-0.0794,0.2456,0.1381,1113.5912108033876,366.489814602884,0.0,1,1.0,36199.0,0
73807736966,1446.82,-8.2181,4.1252,3.1214,-0.1271,0.1038,0.0819,1113.5912108033876,366.489814602884,0.0,1,1.0,36199.0,0
73807844756,1446.8310000000001,-8.4897,3.667,3.1214,-0.2175,-0.1723,-0.0623,1109.3138017853057,361.4360265506981,0.0,1,1.0,36680.0,0
73807964805,1446.843,-8.4598,3.3858,2.7517,-0.2578,-0.3897,-0.1295,1103.805905241474,358.5062943465324,0.0,1,1.0,37160.0,0
73808078590,1446.854,-8.5962,3.5426,2.455,-0.3641,-0.6927,-0.2309,1103.805905241474,358.5062943465324,0.0,1,1.0,37160.0,0
73808186976,1446.865,-8.7589,3.6144,2.2277,-0.518,-1.0043,-0.4007,1097.594872968643,357.95696955825133,0.0,1,1.0,38154.0,0
73808304973,1446.877,-8.9276,3.3117,2.3378,-0.6426,-1.3182,-0.606,1090.9150835431449,361.9487296864271,0.0,1,1.0,38764.0,0
73808418552,1446.888,-9.1537,2.723,3.3284,-0.661,-1.449,-0.7709,1090.9150835431449,361.9487296864271,0.0,1,1.0,38764.0,0
73808529143,1446.8990000000001,-9.2183,1.9549,4.6887,-0.4875,-1.2792,-0.8125,1083.3563744563974,377.769283588922,0.0,1,1.0,37898.0,0
73808644830,1446.911,-9.1214,1.5805,5.0357,-0.1344,-0.6646,-0.5315,1082.536049439231,390.22064545662624,0.0,1,1.0,34756.0,0
73808759450,1446.922,-9.4816,1.474,4.6481,-0.0086,-0.4838,-0.3738,1084.3524834058137,400.2549782558938,0.0,1,1.0,28095.0,0
73811017312,1447.1490000000001,-8.4347,1.1474,4.3334,0.2896,0.0208,0.0965,1104.5090409704735,468.27969787136647,0.0,1,1.0,30495.0,0
73811131896,1447.16,-8.8056,2.2086,4.8646,0.2175,0.0086,0.2028,1104.5090409704735,468.27969787136647,0.0,1,1.0,30495.0,0
73811245715,1447.172,-8.8786,3.149,4.5093,-0.0159,0.0782,0.11,1104.5090409704735,468.27969787136647,0.0,1,1.0,33602.0,0
73811363367,1447.183,-8.9204,3.0616,4.4758,-0.1503,0.0831,0.0782,1104.5090409704735,468.27969787136647,0.0,1,1.0,33602.0,0
73811478624,1447.194,-9.9075,2.5914,4.1121,-0.1735,0.0965,0.1784,1104.5090409704735,468.27969787136647,0.0,1,1.0,32703.0,0
73811596941,1447.2060000000001,-11.1829,2.455,3.6562,-0.1112,-0.1515,0.4777,1104.5090409704735,468.27969787136647,0.0,1,1.0,32703.0,0
73811702517,1447.217,-10.5547,2.1966,4.4375,-0.0342,-0.4435,0.6915,1109.2552071412222,466.5951018539712,0.0,1,1.0,13344.0,0
