host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
75064241270,1572.47,-8.3605,1.949,5.6842,0.1405,-0.2981,-0.1845,1086.5790798809796,548.4628061341268,0.0,1,1.0,6784.0,0
75064353130,1572.481,-8.455,2.3342,5.7009,0.2517,-0.1271,-0.033,1086.5790798809796,548.4628061341268,0.0,1,1.0,6784.0,0
75064468330,1572.493,-8.4096,3.0221,5.1015,0.281,0.0367,0.0623,1089.9189745937283,560.0718699931334,0.0,1,1.0,11168.0,0
75064584872,1572.5040000000001,-8.5687,3.0473,4.678,0.1417,0.0061,0.0012,1090.4463263904784,560.877546349279,0.0,1,1.0,14112.0,0
75064700846,1572.515,-8.9097,1.9561,6.0383,0.281,0.1894,0.1124,1090.9150835431449,559.1197070267796,0.0,1,1.0,19455.0,0
75064817666,1572.527,-8.9874,1.3113,7.2574,0.7391,0.7245,0.4862,1090.9150835431449,559.1197070267796,0.0,1,1.0,19455.0,0
75064927673,1572.538,-8.7039,1.5793,6.8602,1.1887,1.2938,0.8955,1089.6845960173953,548.9755092698558,0.0,1,1.0,24383.0,0
75065046769,1572.55,-8.2373,2.5723,5.3767,1.3219,2.0342,1.3134,1089.6845960173953,548.9755092698558,0.0,1,1.0,24383.0,0
75065156302,1572.561,-7.6259,2.8989,4.879,1.3598,2.2859,1.3647,1089.6845960173953,548.9755092698558,0.0,1,1.0,24383.0,0
75065270032,1572.5720000000001,-7.6032,3.4744,3.4301,0.9957,2.0989,1.2364,1089.6845960173953,548.9755092698558,0.0,1,1.0,24383.0,0
75065384713,1572.584,-7.9549,3.5294,2.5902,0.6622,1.6933,0.9371,1089.6845960173953,548.9755092698558,0.0,1,1.0,24383.0,0
75065498082,1572.595,-8.1153,3.3811,2.3509,0.5034,1.2022,0.6377,1074.7429617761502,464.1048294804304,0.0,1,1.0,31103.0,0
75065605874,1572.606,-8.3486,3.0975,2.5567,0.3115,0.6915,0.391,1074.7429617761502,464.1048294804304,0.0,1,1.0,31103.0,0
