host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
78368509973,1902.894,-8.5125,2.3198,4.4877,0.2553,-0.1735,-0.0586,1068.356145571069,464.1048294804304,0.0,1,1.0,3744.0,0
78368623763,1902.905,-8.6429,2.5472,4.4518,0.3299,-0.1295,-0.0354,1068.356145571069,464.1048294804304,0.0,1,1.0,3744.0,0
78368732878,1902.916,-8.5962,2.7529,4.2688,0.3653,-0.0965,-0.0342,1068.356145571069,464.1048294804304,0.0,1,1.0,3744.0,0
78368850561,1902.928,-8.5555,2.8534,4.0439,0.3775,-0.0794,-0.0244,1070.231174181735,469.2684824902724,0.0,1,1.0,14144.0,0
78368965904,1902.939,-8.5735,2.9803,4.0606,0.3787,-0.0586,-0.0037,1070.7585259784848,469.8910505836576,0.0,1,1.0,16064.0,0
78369080636,1902.95,-8.6046,3.1071,4.0606,0.336,-0.011,0.0208,1071.1100938429847,470.5136186770428,0.0,1,1.0,18207.0,0
78369196440,1902.962,-8.5567,2.9599,3.7771,0.1686,-0.0476,0.0171,1071.4616617074846,470.95307850766767,0.0,1,1.0,23103.0,0
78369308823,1902.973,-8.5603,2.9432,3.9494,0.1124,-0.0599,0.022,1071.4616617074846,470.95307850766767,0.0,1,1.0,23103.0,0
78369421969,1902.9840000000002,-8.6237,2.948,3.9553,0.0501,-0.0696,0.0269,1071.4616617074846,470.95307850766767,0.0,1,1.0,28479.0,0
78369537386,1902.996,-8.6776,2.851,4.392,0.0379,-0.0342,0.0489,1071.4616617074846,470.95307850766767,0.0,1,1.0,30431.0,0
78369651685,1903.007,-8.7099,2.7876,5.1577,0.1393,0.1991,0.1466,1071.4616617074846,470.95307850766767,0.0,1,1.0,30431.0,0
78369761933,1903.018,-8.7577,2.8092,4.9101,0.1662,0.474,0.2382,1071.4616617074846,469.8910505836576,0.0,1,1.0,31167.0,0
78369877936,1903.03,-8.7541,2.7051,4.4602,0.2761,0.6292,0.2822,1070.7585259784848,465.3499656672008,0.0,1,1.0,32768.0,0
78369990840,1903.041,-8.6261,2.8642,4.3418,0.4801,0.9407,0.3616,1070.7585259784848,465.3499656672008,0.0,1,1.0,32768.0,0
78370100084,1903.0520000000001,-8.5543,3.0401,3.8776,0.5082,1.0324,0.3873,1068.2389562829023,452.8986037994965,0.0,1,1.0,35237.0,0
78370221817,1903.064,-8.5364,3.0939,3.4373,0.5143,1.0275,0.38,1066.481116960403,442.2966353856717,0.0,1,1.0,36904.0,0
78370326870,1903.075,-8.5388,3.0209,3.35,0.507,0.9652,0.3482,1066.481116960403,442.2966353856717,0.0,1,1.0,36904.0,0
78370437612,1903.086,-8.5508,3.1705,3.1609,0.5143,0.8968,0.3079,1064.7818722819868,431.3833829251545,0.0,1,1.0,37641.0,0
78370556737,1903.098,-8.5807,3.216,2.7661,0.4545,0.7379,0.2517,1063.6099794003203,421.5321583886473,0.0,1,1.0,38058.0,0
78370670938,1903.1090000000002,-8.607,3.2076,2.6429,0.4581,0.5315,0.1857,1063.6099794003203,421.5321583886473,0.0,1,1.0,38058.0,0
78370777002,1903.1200000000001,-8.6022,3.3763,2.6764,0.4203,0.336,0.1185,1063.0826276035707,413.5852597848477,0.0,1,1.0,38251.0,0
78370895988,1903.132,-8.6608,3.6156,3.0772,0.3885,0.0489,0.0452,1063.0826276035707,406.8468757152666,0.0,1,1.0,38218.0,0
78371007846,1903.143,-8.8056,3.7771,3.0293,0.4093,0.0012,-0.0403,1063.0826276035707,406.8468757152666,0.0,1,1.0,38218.0,0
78371121304,1903.154,-8.9145,3.5785,2.1811,0.3555,-0.1637,-0.1869,1063.902952620737,405.8580910963607,0.0,1,1.0,38090.0,0
78371236494,1903.166,-8.8116,3.0473,1.8018,0.2859,-0.529,-0.3225,1065.6607919432363,406.40741588464175,0.0,1,1.0,38026.0,0
78371355870,1903.1770000000001,-8.6453,3.0568,2.3701,0.2786,-0.8259,-0.3653,1069.0592813000687,411.5710688944838,0.0,1,1.0,38635.0,0
78371459174,1903.188,-8.6501,3.3117,2.5627,0.0244,-1.0446,-0.4423,1069.0592813000687,411.5710688944838,0.0,1,1.0,38635.0,0
78371578896,1903.2,-8.5807,3.2818,2.5926,-0.1307,-1.2682,-0.5266,1069.0592813000687,411.5710688944838,0.0,1,1.0,38635.0,0
78371695297,1903.211,-8.6524,3.4002,4.0929,-0.1979,-1.2425,-0.5596,1077.0281528953994,426.8422980086976,0.0,1,1.0,38764.0,0
78371808380,1903.222,-8.6644,3.5055,4.8538,-0.0428,-0.8369,-0.4276,1077.0281528953994,426.8422980086976,0.0,1,1.0,38764.0,0
78371918088,1903.2340000000002,-8.4945,3.6311,4.7318,0.0232,-0.3164,-0.1784,1077.0281528953994,426.8422980086976,0.0,1,1.0,38764.0,0
78372034799,1903.2450000000001,-8.7063,4.0929,3.3619,-0.0733,-0.044,-0.0195,1077.0281528953994,426.8422980086976,0.0,1,1.0,38764.0,0
78372141717,1903.256,-8.9683,3.6287,3.6503,-0.1405,-0.0281,-0.0916,1077.0281528953994,426.8422980086976,0.0,1,1.0,38764.0,0
78372258420,1903.268,-8.9348,2.2373,5.5669,0.0574,0.2883,-0.0281,1098.8253604943925,461.43144884412914,0.0,1,1.0,34660.0,0
78372366918,1903.279,-8.7386,1.9226,6.0658,0.4288,0.8552,0.215,1098.8253604943925,461.43144884412914,0.0,1,1.0,34660.0,0
78372480831,1903.29,-8.5352,2.5771,4.8275,0.5962,1.284,0.4129,1098.8253604943925,461.43144884412914,0.0,1,1.0,34660.0,0
78372594138,1903.3020000000001,-8.4957,3.4397,2.3677,0.5315,1.1301,0.3384,1099.1183337148088,450.3350881208514,0.0,1,1.0,33922.0,0
78372713644,1903.313,-8.6142,3.2985,2.4479,0.4508,0.876,0.2456,1099.1183337148088,450.3350881208514,0.0,1,1.0,33922.0,0
78372819250,1903.324,-8.6213,3.0987,2.8463,0.4313,0.7294,0.2162,1099.1183337148088,450.3350881208514,0.0,1,1.0,33922.0,0
78372934052,1903.336,-8.6608,3.1442,2.6357,0.3812,0.6329,0.2101,1099.1183337148088,450.3350881208514,0.0,1,1.0,33922.0,0
78373055195,1903.347,-8.7075,3.2399,2.0782,0.2993,0.4276,0.1857,1094.5479514763103,415.9290455481804,0.0,1,1.0,38122.0,0
78373166037,1903.358,-8.6967,3.4564,2.1332,0.2602,0.1869,0.1527,1094.5479514763103,415.9290455481804,0.0,1,1.0,38122.0,0
78373274435,1903.3700000000001,-8.7338,3.7819,2.5639,0.2211,0.0745,0.1234,1094.5479514763103,411.644312199588,0.0,1,1.0,38603.0,0
78373394124,1903.381,-8.936,4.0762,2.2205,0.1772,-0.0342,-0.0049,1094.665140764477,409.7766079194323,0.0,1,1.0,38347.0,0
78373507490,1903.392,-9.009,3.7663,1.6116,0.0941,-0.2468,-0.16,1094.665140764477,409.7766079194323,0.0,1,1.0,38347.0,0
78373615799,1903.404,-8.9133,3.4744,1.5517,0.0648,-0.5913,-0.2847,1095.60265506981,409.7766079194323,0.0,1,1.0,38026.0,0
78373735649,1903.415,-8.7661,3.3081,2.2588,-0.0464,-0.8674,-0.3824,1097.7706569008926,412.4499885557335,0.0,1,1.0,37802.0,0
78373846832,1903.426,-8.7326,3.07,2.8319,-0.0684,-1.025,-0.4435,1097.7706569008926,412.4499885557335,0.0,1,1.0,37802.0,0
78373954573,1903.438,-8.7458,3.0963,2.9324,-0.1222,-1.1301,-0.4911,1101.755092698558,418.8587777523461,0.0,1,1.0,37738.0,0
78374070961,1903.449,-8.7661,3.1214,3.0963,-0.1319,-1.179,-0.5241,1107.2043945983062,428.5268940260929,0.0,1,1.0,36712.0,0
78374182118,1903.46,-8.7326,3.0497,4.13,-0.0379,-1.0226,-0.4911,1107.2043945983062,428.5268940260929,0.0,1,1.0,36712.0,0
78374293556,1903.472,-8.5938,3.7771,4.1695,0.1894,-0.0586,-0.0855,1117.8686198214696,445.519340810254,0.0,1,1.0,33473.0,0
78374409735,1903.483,-8.8331,3.923,3.5833,0.0599,0.1539,-0.0293,1124.4605172808424,452.8986037994965,0.0,1,1.0,31583.0,0
