host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
79483201121,2014.362,-8.4287,3.1131,3.9924,0.1307,-0.1955,-0.0476,1079.0789654383154,450.3350881208514,0.0,1,1.0,1184.0,0
79483313786,2014.373,-8.3581,2.9456,3.8991,0.1613,-0.2236,-0.0428,1079.0789654383154,450.3350881208514,0.0,1,1.0,1184.0,0
79483428666,2014.384,-8.4598,3.3607,3.941,0.11,-0.2798,-0.0696,1079.0789654383154,450.3350881208514,0.0,1,1.0,1184.0,0
79483540552,2014.396,-8.4514,3.3356,4.0487,0.0916,-0.2676,-0.0782,1079.0789654383154,456.56076905470366,0.0,1,1.0,7616.0,0
79483655183,2014.4070000000002,-8.5065,3.3703,4.1085,0.0782,-0.2089,-0.0672,1079.0789654383154,456.56076905470366,0.0,1,1.0,7616.0,0
79483769408,2014.4180000000001,-8.5292,3.4313,4.1432,0.0525,-0.1429,-0.0538,1079.0789654383154,459.38063630121314,0.0,1,1.0,10208.0,0
79483887029,2014.43,-8.5137,3.3631,4.124,0.0269,-0.077,-0.0428,1079.430533302815,461.17509727626464,0.0,1,1.0,13888.0,0
79484003374,2014.441,-8.5017,3.2112,3.9182,0.0086,-0.0403,-0.0342,1079.723506523232,461.79766536964985,0.0,1,1.0,17663.0,0
79484110783,2014.452,-8.4945,3.1848,3.7555,-0.055,-0.0599,-0.0232,1079.723506523232,461.79766536964985,0.0,1,1.0,17663.0,0
79484226019,2014.464,-8.7099,2.7482,4.6349,-0.088,-0.0147,0.0464,1079.723506523232,461.79766536964985,0.0,1,1.0,21471.0,0
79484343154,2014.4750000000001,-8.7601,2.8546,5.7655,0.2285,0.3494,0.1845,1079.723506523232,461.79766536964985,0.0,1,1.0,23551.0,0
79484452390,2014.487,-8.6548,3.2961,5.3755,0.3616,0.7807,0.2761,1079.723506523232,461.79766536964985,0.0,1,1.0,23551.0,0
79484567065,2014.498,-8.4754,3.2985,4.2485,0.4691,0.9872,0.3274,1079.430533302815,454.3268482490273,0.0,1,1.0,25407.0,0
79484680670,2014.509,-8.3091,3.2949,3.7268,0.4985,1.0067,0.3311,1077.8484779125658,444.3474479285877,0.0,1,1.0,27583.0,0
79484792068,2014.521,-8.3629,3.3691,3.4349,0.4313,0.9322,0.2932,1077.8484779125658,444.3474479285877,0.0,1,1.0,27583.0,0
