host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
80181488796,2084.19,-8.6441,2.8941,3.1274,0.3457,-0.0916,-0.0672,1115.1146715495538,450.1519798580911,0.0,1,1.0,8576.0,0
80181599801,2084.201,-8.6668,2.9994,2.9779,0.3836,-0.1161,-0.0281,1115.1146715495538,450.1519798580911,0.0,1,1.0,8576.0,0
80181713512,2084.213,-8.808,3.2925,2.9324,0.3238,-0.1527,-0.0086,1115.1146715495538,450.1519798580911,0.0,1,1.0,8576.0,0
80181830413,2084.224,-8.7386,3.5988,2.9049,0.2468,-0.1686,0.0,1115.1146715495538,450.1519798580911,0.0,1,1.0,15424.0,0
80181948976,2084.235,-8.6237,3.7352,2.6812,-0.0367,-0.2443,0.0122,1117.575646601053,455.7550926985581,0.0,1,1.0,20671.0,0
80182060664,2084.247,-8.5819,3.8955,2.7218,-0.16,-0.2688,0.0342,1117.575646601053,455.7550926985581,0.0,1,1.0,20671.0,0
80182173307,2084.2580000000003,-8.5843,4.1599,2.5723,-0.314,-0.3189,0.033,1117.575646601053,459.38063630121314,0.0,1,1.0,27103.0,0
80182289731,2084.2690000000002,-8.5902,4.2628,2.6955,-0.4704,-0.3629,0.011,1115.700617990387,461.870908674754,0.0,1,1.0,29503.0,0
80182403050,2084.281,-8.5783,4.0606,2.8582,-0.6133,-0.3763,-0.0122,1115.700617990387,461.870908674754,0.0,1,1.0,29503.0,0
80182514960,2084.292,-8.6381,3.746,2.9743,-0.6988,-0.3726,-0.0012,1112.5951018539713,464.1048294804304,0.0,1,1.0,30655.0,0
80182631192,2084.303,-8.7254,3.4528,3.1944,-0.6854,-0.3311,0.0122,1108.4348821240558,465.7894254978256,0.0,1,1.0,31519.0,0
80182750278,2084.315,-8.8666,2.9133,3.5844,-0.5131,-0.1429,0.1038,1108.4348821240558,465.7894254978256,0.0,1,1.0,31519.0,0
80182853571,2084.326,-9.009,2.7063,3.8393,-0.3848,0.0122,0.1442,1103.1027695124742,466.4119935912108,0.0,1,1.0,32127.0,0
80182971617,2084.337,-9.058,2.4275,3.9278,-0.2321,0.1674,0.1723,1093.4932478828107,464.7273975738156,0.0,1,1.0,33024.0,0
80183080763,2084.349,-9.1083,2.3342,4.0965,-0.0953,0.3274,0.2162,1093.4932478828107,464.7273975738156,0.0,1,1.0,33024.0,0
80183190807,2084.36,-9.1525,2.3174,4.1408,0.0941,0.5009,0.215,1087.4579995422291,460.0032043945984,0.0,1,1.0,33602.0,0
80183308508,2084.371,-9.0257,2.2744,4.1073,0.2737,0.6426,0.2089,1083.3563744563974,453.0084687571528,0.0,1,1.0,34307.0,0
80183423224,2084.3830000000003,-8.9372,2.3653,4.1001,0.4313,0.7416,0.2053,1083.3563744563974,453.0084687571528,0.0,1,1.0,34307.0,0
80183532231,2084.3940000000002,-8.8594,2.6764,3.7974,0.6011,0.8051,0.1796,1081.246967269398,444.7136644541084,0.0,1,1.0,34692.0,0
80183647817,2084.405,-8.7721,3.0126,2.8881,0.7917,0.6451,0.0586,1080.9539940489817,432.5186541542687,0.0,1,1.0,35205.0,0
