host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
80823415709,2148.382,-8.5436,2.126,4.745,0.1283,-0.0293,-0.0672,1077.672693980316,450.70130464637214,0.0,1,1.0,13504.0,0
80823528193,2148.393,-8.6178,2.0949,4.1922,0.1527,-0.0379,-0.0269,1077.672693980316,450.70130464637214,0.0,1,1.0,13504.0,0
80823642722,2148.404,-8.6883,2.0746,4.6624,0.2309,-0.0134,0.0367,1077.672693980316,450.70130464637214,0.0,1,1.0,13504.0,0
80823756523,2148.416,-8.869,2.1224,5.543,0.3787,0.1796,0.1344,1077.672693980316,450.70130464637214,0.0,1,1.0,18431.0,0
80823874473,2148.427,-8.9133,2.2217,6.0514,0.6634,0.5852,0.2358,1077.672693980316,450.70130464637214,0.0,1,1.0,20127.0,0
80823987113,2148.438,-8.6501,2.4335,5.1147,1.0837,1.361,0.4117,1075.7390707255663,439.73311970702673,0.0,1,1.0,23679.0,0
80824094836,2148.45,-8.4395,2.5831,4.1827,1.1301,1.5052,0.4459,1075.3875028610669,433.8736552986953,0.0,1,1.0,25215.0,0
80824215063,2148.4610000000002,-8.3557,2.9049,3.6933,1.069,1.5382,0.4801,1075.09452964065,427.4648661020829,0.0,1,1.0,26559.0,0
80824325045,2148.472,-8.2875,3.387,3.2973,0.9053,1.5211,0.4765,1075.09452964065,427.4648661020829,0.0,1,1.0,26559.0,0
80824434410,2148.484,-8.2205,3.7328,2.4634,0.6854,1.3671,0.4178,1074.0984206912335,406.4806591897459,0.0,1,1.0,29791.0,0
80824553839,2148.495,-8.3115,3.9625,1.6343,0.518,1.0397,0.3213,1073.6882581826503,394.7617303730831,0.0,1,1.0,30239.0,0
80824667677,2148.506,-8.4574,3.9948,1.6187,0.347,0.6622,0.2114,1073.395284962234,390.33051041428246,0.0,1,1.0,30367.0,0
80824777648,2148.518,-8.5472,4.0834,2.3031,0.1662,0.2065,0.0476,1073.219501029984,386.8514534218357,0.0,1,1.0,30367.0,0
80824893294,2148.529,-8.5986,3.9733,2.3498,0.1197,0.0122,-0.0269,1073.043717097734,382.3103685053789,0.0,1,1.0,30431.0,0
80825008806,2148.54,-8.6524,3.8692,2.8678,0.1723,-0.0977,-0.0855,1072.867933165484,380.5525291828794,0.0,1,1.0,30591.0,0
