host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
81643375743,2230.377,-8.6704,3.2423,3.1502,0.3274,-0.1234,-0.1026,1118.1029983978028,464.6541542687114,0.0,1,1.0,9568.0,0
81643487483,2230.388,-8.7027,3.4911,3.0808,0.2395,-0.1649,-0.1002,1118.1029983978028,464.6541542687114,0.0,1,1.0,9568.0,0
81643601770,2230.4,-8.5938,3.4433,3.2016,0.1857,-0.1796,-0.0916,1118.1029983978028,464.6541542687114,0.0,1,1.0,16671.0,0
81643716378,2230.411,-8.5472,3.4098,3.1872,0.1368,-0.1833,-0.0684,1118.1029983978028,464.6541542687114,0.0,1,1.0,18015.0,0
81643829308,2230.422,-8.5173,3.4696,3.1334,0.0574,-0.215,-0.0354,1119.9780270084689,469.6346990157931,0.0,1,1.0,19167.0,0
81643947252,2230.434,-8.3198,3.8812,2.9695,-0.1967,-0.2627,0.0538,1119.9780270084689,471.136186770428,0.0,1,1.0,22495.0,0
81644059223,2230.445,-8.2935,3.9852,2.9755,-0.3592,-0.2749,0.1356,1119.9780270084689,471.136186770428,0.0,1,1.0,22495.0,0
81644168644,2230.456,-8.3581,3.9051,3.2124,-0.4691,-0.248,0.2175,1116.0521858548868,473.26024261844816,0.0,1,1.0,25439.0,0
81644288310,2230.468,-8.5567,3.8453,3.6084,-0.5058,-0.1625,0.2822,1110.134126802472,473.6264591439689,0.0,1,1.0,26591.0,0
81644398933,2230.4790000000003,-8.7852,3.5725,3.8441,-0.5107,-0.0538,0.2517,1106.2082856488898,473.6264591439689,0.0,1,1.0,27135.0,0
81644510569,2230.4900000000002,-8.8606,2.9444,3.8788,-0.4459,0.0171,0.2162,1101.8722819867246,472.8207827878233,0.0,1,1.0,27391.0,0
81644625460,2230.502,-8.8881,2.7529,3.9829,-0.3128,0.099,0.2199,1093.4346532387274,469.8910505836576,0.0,1,1.0,29567.0,0
81644742610,2230.513,-9.003,2.3186,4.0881,-0.0611,0.2346,0.1686,1086.286106660563,466.2288853284505,0.0,1,1.0,31711.0,0
81644851129,2230.525,-8.9958,2.1296,4.2748,0.1148,0.2993,0.1625,1083.473563744564,464.2879377431907,0.0,1,1.0,32543.0,0
81644966725,2230.536,-8.9683,2.2122,4.4865,0.3567,0.4166,0.1808,1080.0750743877318,459.74685282673386,0.0,1,1.0,34307.0,0
81645080346,2230.547,-8.9312,2.6345,4.2843,0.4972,0.5473,0.1649,1079.196154726482,457.3664454108492,0.0,1,1.0,34852.0,0
81645191427,2230.559,-8.8642,2.9468,3.8572,0.5718,0.5828,0.1197,1079.020370794232,454.76630807965216,0.0,1,1.0,35269.0,0
81645306034,2230.57,-8.7015,3.0951,3.6144,0.6548,0.5852,0.0721,1079.020370794232,449.7125200274662,0.0,1,1.0,35846.0,0
81645424502,2230.581,-8.595,3.3021,3.198,0.6829,0.529,0.0379,1081.246967269398,445.519340810254,0.0,1,1.0,36102.0,0
81645535038,2230.593,-8.6142,3.7196,2.7063,0.6878,0.4154,-0.0049,1082.8290226596475,443.90798809796286,0.0,1,1.0,36134.0,0
81645654737,2230.6040000000003,-8.5759,4.264,2.1416,0.5339,0.0867,-0.1405,1082.8290226596475,443.90798809796286,0.0,1,1.0,36134.0,0
81645763500,2230.6150000000002,-8.6429,4.2604,1.9633,0.4007,-0.1539,-0.2456,1082.8290226596475,443.90798809796286,0.0,1,1.0,36134.0,0
81645873865,2230.627,-8.6453,4.0235,2.0423,0.3091,-0.3861,-0.3384,1082.8290226596475,443.90798809796286,0.0,1,1.0,36134.0,0
81645990226,2230.638,-8.5316,3.9003,2.3007,0.2126,-0.5681,-0.3983,1082.8290226596475,443.90798809796286,0.0,1,1.0,36134.0,0
81646105344,2230.649,-8.4574,3.9398,2.5029,0.0965,-0.6671,-0.4032,1082.8290226596475,443.90798809796286,0.0,1,1.0,36134.0,0
81646216335,2230.661,-8.473,3.9182,2.6333,-0.0342,-0.733,-0.3995,1100.4074158846418,447.6617074845502,0.0,1,1.0,37032.0,0
81646326685,2230.672,-8.4814,3.7388,2.9228,-0.1087,-0.7624,-0.3836,1100.4074158846418,447.6617074845502,0.0,1,1.0,37032.0,0
81646447453,2230.683,-8.5531,3.271,3.6168,-0.1014,-0.6597,-0.292,1114.0013733119708,464.83726253147177,0.0,1,1.0,36455.0,0
81646550563,2230.695,-8.6285,3.3272,3.8931,-0.077,-0.4814,-0.1991,1114.0013733119708,464.83726253147177,0.0,1,1.0,36455.0,0
81646666546,2230.706,-8.6584,3.344,4.0247,-0.0586,-0.248,-0.1087,1118.2201876859694,471.3192950331884,0.0,1,1.0,35878.0,0
81646784804,2230.717,-8.6764,3.3392,3.5617,-0.0391,-0.0525,-0.0318,1121.1792172121768,476.0068665598535,0.0,1,1.0,35237.0,0
81646892120,2230.7290000000003,-8.7182,3.192,3.0939,-0.1393,-0.0574,-0.0134,1121.1792172121768,476.0068665598535,0.0,1,1.0,35237.0,0
81647005948,2230.7400000000002,-8.8642,2.7123,4.1647,-0.1075,-0.0024,0.0476,1122.5854886701763,477.801327534905,0.0,1,1.0,35012.0,0
81647124073,2230.751,-8.8678,2.5484,5.9115,0.2529,0.474,0.1845,1122.702677958343,477.1787594415198,0.0,1,1.0,34403.0,0
81647237023,2230.763,-8.7829,3.2435,4.3466,0.5901,1.146,0.3348,1122.702677958343,477.1787594415198,0.0,1,1.0,34403.0,0
81647348583,2230.774,-8.4299,3.5079,3.8836,0.8528,1.8741,0.474,1122.5854886701763,471.20943007553217,0.0,1,1.0,34596.0,0
81647467577,2230.785,-8.2995,3.6897,3.5067,0.8772,2.1295,0.4679,1120.1245136186772,458.6115815976197,0.0,1,1.0,36872.0,0
81647580228,2230.797,-8.2887,3.6132,2.5902,0.7721,2.2028,0.4459,1120.1245136186772,458.6115815976197,0.0,1,1.0,36872.0,0
81647687708,2230.808,-8.4323,3.5821,1.6092,0.6341,2.0452,0.4191,1120.1245136186772,458.6115815976197,0.0,1,1.0,36872.0,0
81647806359,2230.819,-8.7194,3.521,0.9009,0.452,1.686,0.3311,1110.8958571755552,411.3879606317234,0.0,1,1.0,42611.0,0
81647916165,2230.831,-8.9228,3.5689,0.7741,0.3482,1.2755,0.2627,1110.8958571755552,411.3879606317234,0.0,1,1.0,42611.0,0
81648027653,2230.842,-8.9839,3.7507,0.6473,0.1833,0.9151,0.1979,1108.3176928358891,395.201190203708,0.0,1,1.0,43990.0,0
81648147735,2230.853,-8.9432,4.3561,0.5276,-0.0452,0.2712,0.1271,1107.2043945983062,384.3611810482949,0.0,1,1.0,44599.0,0
