host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
82486433184,2314.681,-8.528,1.7456,5.0704,0.226,0.0086,0.0721,1080.0750743877318,460.1863126573587,0.0,1,1.0,12096.0,0
82486546335,2314.692,-8.7398,1.5063,5.6554,0.2431,0.0941,0.1014,1080.0750743877318,460.1863126573587,0.0,1,1.0,12096.0,0
82486665480,2314.704,-8.8319,1.1509,6.0969,0.4398,0.3384,0.2175,1080.0750743877318,460.1863126573587,0.0,1,1.0,17343.0,0
82486774787,2314.715,-8.735,1.2299,5.8098,0.6182,0.562,0.3738,1080.7782101167315,453.8141451132983,0.0,1,1.0,21247.0,0
82486894168,2314.727,-8.6022,1.5111,5.4736,0.7147,0.7208,0.4691,1080.7782101167315,453.8141451132983,0.0,1,1.0,21247.0,0
82487012562,2314.738,-8.3569,1.8485,4.8993,0.744,0.8845,0.5473,1080.7782101167315,453.8141451132983,0.0,1,1.0,21247.0,0
82487115761,2314.7490000000003,-8.2564,1.9394,4.5942,0.6903,0.8625,0.5498,1080.7782101167315,440.355687800412,0.0,1,1.0,25055.0,0
82487237959,2314.761,-8.2098,2.2373,4.4076,0.6512,0.8051,0.5302,1080.3680476081483,430.0650034332799,0.0,1,1.0,26815.0,0
82487351439,2314.772,-8.2002,2.5854,4.197,0.5718,0.7001,0.4557,1080.3680476081483,430.0650034332799,0.0,1,1.0,26815.0,0
82487456181,2314.783,-8.1715,2.7972,4.0175,0.4838,0.5229,0.3286,1079.7821011673152,420.4335088120852,0.0,1,1.0,27679.0,0
82487572320,2314.795,-8.1069,3.0389,3.7998,0.3665,0.3238,0.1845,1079.430533302815,412.4499885557335,0.0,1,1.0,27967.0,0
82487694116,2314.806,-8.1476,3.137,3.7866,0.2431,0.0953,0.0379,1079.430533302815,406.2975509269856,0.0,1,1.0,28127.0,0
82487801825,2314.817,-8.327,2.948,4.3286,0.1759,-0.0489,-0.055,1079.430533302815,406.2975509269856,0.0,1,1.0,28127.0,0
82487913169,2314.829,-8.3665,2.6489,4.3358,0.2382,-0.0489,-0.1381,1079.430533302815,405.8580910963607,0.0,1,1.0,28191.0,0
82488036420,2314.84,-8.1452,3.009,3.4289,0.1222,-0.2126,-0.2101,1079.430533302815,405.8580910963607,0.0,1,1.0,29375.0,0
82488140349,2314.851,-8.1559,3.1202,3.3129,-0.1356,-0.5339,-0.3567,1079.430533302815,405.8580910963607,0.0,1,1.0,29375.0,0
82488256135,2314.863,-8.2576,2.6728,4.2508,-0.2957,-0.7013,-0.4508,1079.430533302815,408.45822842755774,0.0,1,1.0,31519.0,0
82488377944,2314.8740000000003,-8.2887,2.3306,4.5571,-0.3519,-0.733,-0.4716,1079.430533302815,408.45822842755774,0.0,1,1.0,31519.0,0
82488493408,2314.885,-8.2744,2.2146,4.41,-0.4203,-0.799,-0.4887,1079.430533302815,408.45822842755774,0.0,1,1.0,31519.0,0
82488593479,2314.897,-8.3258,2.0554,4.6026,-0.4911,-0.8503,-0.5131,1079.430533302815,408.45822842755774,0.0,1,1.0,31519.0,0
82488718894,2314.908,-8.6237,1.4788,5.2822,-0.4508,-0.7575,-0.5034,1079.430533302815,408.45822842755774,0.0,1,1.0,31519.0,0
82488826158,2314.92,-8.741,1.1868,5.6112,-0.3274,-0.606,-0.4447,1079.430533302815,408.45822842755774,0.0,1,1.0,31519.0,0
82488936597,2314.931,-8.8511,0.7753,5.9234,-0.0916,-0.4019,-0.369,1077.8484779125658,438.4879835202563,0.0,1,1.0,31807.0,0
82489057347,2314.942,-8.7434,0.7143,5.744,0.1075,-0.2028,-0.2663,1077.8484779125658,438.4879835202563,0.0,1,1.0,31807.0,0
82489163935,2314.954,-8.7589,0.9224,5.318,0.226,-0.1466,-0.2969,1077.8484779125658,438.4879835202563,0.0,1,1.0,31807.0,0
82489275114,2314.965,-8.9348,0.8327,5.4293,0.3665,-0.0831,-0.3714,1079.8992904554818,452.0929274433509,0.0,1,1.0,32095.0,0
82489387206,2314.976,-9.0377,0.6903,5.6243,0.6011,0.0599,-0.4154,1087.8095674067292,457.0002288853285,0.0,1,1.0,32287.0,0
82489501753,2314.988,-8.5771,1.1198,5.1099,0.7782,0.2199,-0.0513,1087.8095674067292,457.0002288853285,0.0,1,1.0,32287.0,0
82489613542,2314.9990000000003,-8.3175,2.1129,4.4136,0.6964,0.4044,0.0379,1096.715953307393,458.86793316548415,0.0,1,1.0,32960.0,0
82489740717,2315.01,-8.26,2.9049,4.1827,0.4239,0.358,0.16,1106.2668802929732,459.0510414282445,0.0,1,1.0,33602.0,0
82489846997,2315.022,-8.3868,3.1777,4.1073,0.1454,0.2822,0.2309,1106.2668802929732,459.0510414282445,0.0,1,1.0,33602.0,0
82489952643,2315.033,-8.4467,3.1741,4.1515,-0.0721,0.2004,0.3005,1114.2943465323874,457.256580453193,0.0,1,1.0,33505.0,0
82490076666,2315.044,-8.7087,3.1346,4.0678,-0.2517,0.1381,0.4252,1118.9233234149692,453.9606317235066,0.0,1,1.0,33313.0,0
82490186196,2315.056,-10.2006,3.1896,2.7745,-0.3946,-0.1918,0.4899,1118.9233234149692,453.9606317235066,0.0,1,1.0,33313.0,0
