host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
83107350786,2376.773,-8.2552,2.4706,4.4961,-0.0183,-0.2053,0.0086,1129.3238727397577,473.00389105058366,0.0,1,1.0,9760.0,0
83107463821,2376.785,-8.272,2.6919,4.6385,-0.1686,-0.2517,0.0012,1129.3238727397577,473.00389105058366,0.0,1,1.0,11808.0,0
83107579457,2376.7960000000003,-8.2217,2.723,4.6636,-0.3152,-0.281,0.0073,1129.3238727397577,473.00389105058366,0.0,1,1.0,11808.0,0
83107695135,2376.8070000000002,-8.2241,2.7254,4.7091,-0.4288,-0.3042,0.0367,1128.7379262989243,477.87457084000914,0.0,1,1.0,16767.0,0
83107815762,2376.819,-8.278,2.8152,4.8574,-0.4753,-0.2957,0.0684,1126.3941405355918,479.852140077821,0.0,1,1.0,20191.0,0
83107928579,2376.83,-8.2971,2.8319,4.9328,-0.5632,-0.2627,0.0953,1126.3941405355918,479.852140077821,0.0,1,1.0,20191.0,0
83108034468,2376.842,-8.3402,2.5699,5.0106,-0.6231,-0.2272,0.1234,1122.351110093843,480.8043030441749,0.0,1,1.0,22719.0,0
83108150372,2376.853,-8.5328,1.7803,5.3898,-0.6048,-0.1002,0.2285,1112.9466697184712,480.36484321355,0.0,1,1.0,26015.0,0
83108263636,2376.864,-8.5795,1.3699,5.4006,-0.463,-0.0171,0.2505,1112.9466697184712,480.36484321355,0.0,1,1.0,26015.0,0
83108376625,2376.876,-8.5699,1.1354,5.2965,-0.3775,0.0195,0.248,1105.50514991989,477.61821927214464,0.0,1,1.0,27423.0,0
83108492164,2376.887,-8.6094,0.9559,5.3025,-0.2566,0.033,0.2053,1097.9464408331426,473.9926756694896,0.0,1,1.0,29055.0,0
83108605707,2376.898,-8.5603,0.9858,5.2822,-0.1332,0.0367,0.1491,1097.9464408331426,473.9926756694896,0.0,1,1.0,29055.0,0
83108716024,2376.91,-8.5089,1.0481,5.2726,-0.0623,0.0281,0.1161,1090.211947814145,469.1586175326162,0.0,1,1.0,30687.0,0
83108829268,2376.9210000000003,-8.5484,1.1797,5.4568,0.0428,0.0562,0.1332,1088.512703135729,467.14442664225226,0.0,1,1.0,31167.0,0
83108937081,2376.9320000000002,-8.7326,1.6164,5.6052,0.1808,0.2834,0.1576,1088.512703135729,467.14442664225226,0.0,1,1.0,31167.0,0
83109065662,2376.944,-8.613,1.6714,5.3611,0.5278,0.3922,0.1466,1088.336919203479,464.9105058365759,0.0,1,1.0,30975.0,0
83109178646,2376.955,-8.5579,1.7886,5.1446,0.6487,0.4398,0.1271,1088.9814602883955,461.54131380178535,0.0,1,1.0,30911.0,0
83109288374,2376.966,-8.5675,1.785,5.1781,0.821,0.4887,0.0929,1088.9814602883955,461.54131380178535,0.0,1,1.0,30911.0,0
83109396053,2376.978,-8.5017,1.8748,5.0333,0.9468,0.551,0.0977,1093.4346532387274,454.693064774548,0.0,1,1.0,30975.0,0
83109507869,2376.989,-8.4072,2.0602,4.7701,0.9982,0.5657,0.1026,1098.1222247653925,449.63927672236207,0.0,1,1.0,31167.0,0
83109616798,2377.0,-8.3294,2.2768,4.6361,1.0006,0.5705,0.1234,1103.278553444724,444.4573128862439,0.0,1,1.0,31487.0,0
83109734750,2377.012,-8.3019,2.5137,4.5057,0.9652,0.5559,0.1283,1107.790341039139,439.2204165712977,0.0,1,1.0,31743.0,0
83109851802,2377.023,-8.2612,2.9731,4.3705,0.8051,0.5021,0.1368,1109.8411535820553,436.4371709773403,0.0,1,1.0,32031.0,0
83109968951,2377.034,-8.2217,3.0006,4.3801,0.7086,0.4704,0.1344,1111.6575875486385,433.8736552986953,0.0,1,1.0,32127.0,0
83110078633,2377.0460000000003,-8.2146,3.0114,4.1755,0.6243,0.4239,0.1381,1111.6575875486385,433.8736552986953,0.0,1,1.0,32127.0,0
83110191055,2377.0570000000002,-8.2373,3.1657,4.075,0.529,0.3567,0.1478,1115.876401922637,426.7690547035935,0.0,1,1.0,32896.0,0
83110301916,2377.068,-8.2744,3.3129,4.1037,0.4362,0.3115,0.1381,1117.3412680247195,422.923781185626,0.0,1,1.0,33858.0,0
83110411670,2377.08,-8.3234,3.2399,4.1731,0.3604,0.2651,0.1258,1117.3412680247195,422.923781185626,0.0,1,1.0,33858.0,0
83110525037,2377.091,-8.3474,3.1382,4.203,0.3421,0.2773,0.1478,1117.5170519569697,419.66445410849167,0.0,1,1.0,35205.0,0
83110636513,2377.102,-8.3498,3.3703,3.7603,0.1735,0.2114,0.1955,1117.1654840924698,416.1853971160449,0.0,1,1.0,37257.0,0
83110753983,2377.114,-8.3713,3.2459,3.8201,0.0916,0.1417,0.1772,1114.411535820554,412.2668802929732,0.0,1,1.0,39373.0,0
83110866185,2377.125,-8.3462,3.0999,3.9075,0.0171,0.0696,0.1564,1112.712291142138,410.5090409704737,0.0,1,1.0,39918.0,0
83110986227,2377.136,-8.3677,3.1358,3.8871,-0.0379,-0.011,0.1478,1108.6106660563055,407.7257953765163,0.0,1,1.0,41264.0,0
83111102443,2377.148,-8.4144,3.0461,3.7496,-0.1258,-0.1087,0.1038,1108.6106660563055,407.7257953765163,0.0,1,1.0,41264.0,0
83111208099,2377.159,-8.473,2.881,3.7412,-0.2211,-0.2443,0.0648,1103.9230945296406,406.4806591897459,0.0,1,1.0,42579.0,0
83111326077,2377.17,-8.5472,2.9563,3.5785,-0.3103,-0.3616,0.0086,1098.6495765621423,406.4806591897459,0.0,1,1.0,43541.0,0
83111438030,2377.1820000000002,-8.6596,3.0772,3.3715,-0.4777,-0.5156,-0.0525,1098.6495765621423,406.4806591897459,0.0,1,1.0,43541.0,0
83111551117,2377.193,-8.9731,2.2516,4.3274,-0.6817,-0.6206,-0.2028,1093.4346532387274,408.97093156328674,0.0,1,1.0,43925.0,0
83111674175,2377.204,-8.985,1.7396,4.5248,-0.5877,-0.5437,-0.1881,1087.516594186313,415.9290455481804,0.0,1,1.0,41361.0,0
83111784076,2377.216,-9.0688,1.6271,4.5775,-0.5327,-0.5046,-0.182,1085.7587548638132,419.92080567635617,0.0,1,1.0,35141.0,0
83111897738,2377.227,-9.1167,1.5003,4.867,-0.4203,-0.4239,-0.1759,1085.7587548638132,419.92080567635617,0.0,1,1.0,35141.0,0
83112005788,2377.238,-9.6395,1.1091,4.9173,-0.2285,-0.3262,-0.1173,1085.5829709315633,423.36324101625087,0.0,1,1.0,23199.0,0
83112116012,2377.25,-10.1671,1.0816,4.9256,0.0452,-0.2969,0.1356,1086.813458457313,425.5971618219272,0.0,1,1.0,2688.0,0
