host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
85276070276,2593.643,-8.1452,2.3234,4.7821,0.2016,-0.088,-0.0525,1082.360265506981,465.7161821927215,0.0,1,1.0,4768.0,0
85276186135,2593.655,-8.199,2.5268,4.727,0.1881,-0.1112,-0.022,1082.360265506981,465.7161821927215,0.0,1,1.0,4768.0,0
85276301964,2593.666,-8.2576,2.9288,4.7342,0.0916,-0.0855,0.0073,1082.360265506981,465.7161821927215,0.0,1,1.0,4768.0,0
85276411742,2593.677,-8.2325,3.0078,4.6325,0.0208,-0.0782,0.0134,1082.360265506981,465.7161821927215,0.0,1,1.0,13248.0,0
85276529942,2593.689,-8.2098,3.0006,4.5846,-0.0867,-0.0965,0.022,1082.536049439231,470.33051041428246,0.0,1,1.0,16064.0,0
85276645240,2593.7000000000003,-8.2217,2.9145,4.7593,-0.1747,-0.0953,0.0586,1082.536049439231,470.33051041428246,0.0,1,1.0,16064.0,0
85276754639,2593.7110000000002,-8.3043,2.7769,5.0261,-0.1735,-0.0195,0.1307,1081.774319066148,470.5136186770428,0.0,1,1.0,19615.0,0
85276873164,2593.723,-8.3821,2.6847,5.2199,-0.121,0.1234,0.2553,1079.6063172350653,469.96429388876174,0.0,1,1.0,21055.0,0
85276984811,2593.734,-8.4778,2.5172,5.318,-0.0257,0.3054,0.3848,1079.6063172350653,469.96429388876174,0.0,1,1.0,21055.0,0
85277095231,2593.745,-8.4945,2.3354,4.995,0.27,0.628,0.5559,1075.0359349965668,462.4202334630351,0.0,1,1.0,22303.0,0
85277210991,2593.757,-8.5017,2.3414,4.654,0.3482,0.6744,0.551,1071.9890135042344,452.8986037994965,0.0,1,1.0,23807.0,0
85277322953,2593.768,-8.4359,2.3043,4.5428,0.3738,0.672,0.5266,1069.9382009613184,441.85717555504687,0.0,1,1.0,25919.0,0
85277434712,2593.779,-8.4766,2.217,4.5416,0.43,0.6512,0.485,1069.9382009613184,441.85717555504687,0.0,1,1.0,25919.0,0
85277552647,2593.791,-8.4945,2.2277,4.4722,0.4814,0.573,0.4032,1069.0592813000687,431.4566262302586,0.0,1,1.0,27295.0,0
85277669962,2593.802,-8.4156,2.2481,4.5488,0.5522,0.5009,0.3323,1069.0592813000687,431.4566262302586,0.0,1,1.0,27295.0,0
85277775118,2593.813,-8.3653,2.4395,4.4662,0.6451,0.4435,0.2834,1069.5866330968186,419.7376974135958,0.0,1,1.0,28959.0,0
85277887228,2593.8250000000003,-8.3318,2.7015,4.063,0.6732,0.3751,0.2407,1071.8132295719845,415.1233691920348,0.0,1,1.0,29311.0,0
85278005710,2593.8360000000002,-8.3474,3.3081,4.0463,0.7343,0.2272,0.121,1074.5671778439005,412.52323186083765,0.0,1,1.0,29663.0,0
85278115143,2593.847,-8.351,3.6311,3.6826,0.722,0.0867,-0.0208,1074.5671778439005,412.52323186083765,0.0,1,1.0,29663.0,0
85278227007,2593.859,-8.3318,3.8931,3.32,0.6365,-0.1112,-0.182,1077.9656672007325,412.0105287251087,0.0,1,1.0,29759.0,0
85278346659,2593.87,-8.2911,4.081,3.2949,0.496,-0.3421,-0.3555,1082.4774547951477,414.2078278782329,0.0,1,1.0,30175.0,0
85278458123,2593.882,-8.199,3.9948,3.6168,0.3457,-0.5107,-0.4875,1082.4774547951477,414.2078278782329,0.0,1,1.0,30175.0,0
85278569069,2593.893,-8.1679,3.8177,3.8764,0.2456,-0.5693,-0.529,1090.387731746395,424.3520256351568,0.0,1,1.0,31039.0,0
85278688006,2593.904,-8.1153,3.7208,4.0869,0.1613,-0.5877,-0.5156,1095.1924925612268,433.1412222476539,0.0,1,1.0,31647.0,0
85278798895,2593.916,-8.1547,3.6371,4.0116,0.0171,-0.6206,-0.5058,1095.1924925612268,433.1412222476539,0.0,1,1.0,31647.0,0
85278914741,2593.927,-8.1416,3.3954,4.1013,-0.0709,-0.6903,-0.5351,1099.1183337148088,441.6740672922865,0.0,1,1.0,32095.0,0
85279027994,2593.938,-8.1763,3.3476,4.1719,-0.1038,-0.7135,-0.5363,1102.5754177157244,450.3350881208514,0.0,1,1.0,32543.0,0
85279139317,2593.9500000000003,-8.2708,3.3727,4.2616,-0.2101,-0.7147,-0.529,1102.5754177157244,450.3350881208514,0.0,1,1.0,32543.0,0
85279247585,2593.9610000000002,-8.2804,3.1274,4.5751,-0.2847,-0.6536,-0.4887,1106.8528267338063,463.7386129549096,0.0,1,1.0,32639.0,0
85279366314,2593.972,-8.3641,2.7697,4.9388,-0.2578,-0.5229,-0.3848,1108.845044632639,471.20943007553217,0.0,1,1.0,32639.0,0
85279481938,2593.984,-8.4778,2.4826,5.3001,-0.1173,-0.3042,-0.2114,1109.4895857175554,473.9926756694896,0.0,1,1.0,32639.0,0
85279589892,2593.995,-8.3366,2.7673,4.203,-0.3115,-0.0867,-0.0611,1109.8411535820553,475.67727168688486,0.0,1,1.0,32767.0,0
85279704726,2594.006,-8.2397,2.5041,4.7318,-0.2053,-0.088,0.0391,1110.0169375143057,476.8125429159991,0.0,1,1.0,33089.0,0
85279822223,2594.018,-8.4622,2.4036,5.5274,-0.1148,0.1234,0.2456,1110.0169375143057,476.8125429159991,0.0,1,1.0,34339.0,0
85279930940,2594.029,-8.5962,2.3378,5.7703,0.1136,0.4459,0.4337,1108.845044632639,472.7475394827192,0.0,1,1.0,34243.0,0
