host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
86912866124,2757.321,-8.3761,1.9681,4.6445,0.2248,-0.1173,-0.0684,1071.8132295719845,460.11306935225457,0.0,1,1.0,7136.0,0
86912977364,2757.332,-8.4802,2.2038,4.4997,0.2724,-0.1136,-0.0159,1071.8132295719845,460.11306935225457,0.0,1,1.0,8448.0,0
86913090711,2757.344,-8.5615,2.4227,4.6588,0.3079,-0.0562,0.0269,1071.8132295719845,460.11306935225457,0.0,1,1.0,12064.0,0
86913275281,2757.355,-8.5196,2.7338,4.453,0.3213,0.0134,0.077,1071.8132295719845,460.11306935225457,0.0,1,1.0,19071.0,0
86913388347,2757.373,-8.6309,2.5567,4.6038,0.2016,0.0037,0.0574,1071.8132295719845,460.11306935225457,0.0,1,1.0,20767.0,0
86913510335,2757.385,-8.8427,2.0578,5.4174,0.3763,0.2162,0.1429,1072.6921492332342,464.1048294804304,0.0,1,1.0,22143.0,0
86913623072,2757.396,-8.8546,1.7348,5.6518,0.6096,0.5486,0.3054,1072.6921492332342,464.1048294804304,0.0,1,1.0,22143.0,0
86913733655,2757.407,-8.6788,1.8221,5.0967,0.7917,0.8332,0.4924,1073.3366903181509,458.3186083772031,0.0,1,1.0,26591.0,0
86913852837,2757.419,-8.4538,2.3629,4.191,0.7978,0.9297,0.5803,1074.0398260471504,449.52941176470586,0.0,1,1.0,30591.0,0
86913964786,2757.43,-8.3342,2.7852,3.7208,0.7404,0.8711,0.5693,1074.0398260471504,449.52941176470586,0.0,1,1.0,30591.0,0
86914075025,2757.4410000000003,-8.4586,3.0592,3.6335,0.5828,0.7208,0.5107,1074.8015564202335,440.0993362325474,0.0,1,1.0,32415.0,0
86914191330,2757.453,-8.4479,3.1274,3.4744,0.5388,0.5938,0.4459,1075.9148546578165,431.8228427557793,0.0,1,1.0,33762.0,0
86914300644,2757.464,-8.4108,3.1645,3.4863,0.4985,0.4545,0.3787,1075.9148546578165,431.8228427557793,0.0,1,1.0,33762.0,0
86914410297,2757.476,-8.3988,3.2578,3.5474,0.5046,0.3335,0.3213,1077.321126115816,425.3408102540627,0.0,1,1.0,34820.0,0
86914531827,2757.487,-8.4538,3.5486,3.5533,0.4997,0.2321,0.2639,1079.8992904554818,420.6166170748455,0.0,1,1.0,35109.0,0
86914647408,2757.498,-8.5208,3.8261,3.5282,0.4997,0.1564,0.1833,1080.8953994048982,420.1039139391165,0.0,1,1.0,35109.0,0
86914750780,2757.51,-8.6548,4.0977,3.253,0.4679,0.0696,0.0733,1081.8329137102312,419.9940489814603,0.0,1,1.0,35044.0,0
86914869712,2757.521,-8.595,4.1563,2.1691,0.2297,-0.5107,-0.4142,1084.586861982147,420.6166170748455,0.0,1,1.0,35237.0,0
86914984197,2757.532,-8.3773,4.0726,2.5137,0.0257,-0.8711,-0.6267,1088.9814602883955,426.4028381780728,0.0,1,1.0,36038.0,0
86915096772,2757.544,-8.2971,4.118,3.1705,-0.1515,-1.0214,-0.7074,1094.7237354085603,436.8766308079652,0.0,1,1.0,36551.0,0
86915209033,2757.555,-8.278,3.9924,3.7005,-0.248,-1.0067,-0.7184,1097.594872968643,443.0290684367132,0.0,1,1.0,36551.0,0
86915326425,2757.5660000000003,-8.3198,3.5127,4.1001,-0.2957,-0.898,-0.6634,1102.2824444953078,454.50995651178766,0.0,1,1.0,36551.0,0
86915434942,2757.578,-8.4443,2.9145,4.5081,-0.2786,-0.6952,-0.5315,1103.981689173724,459.0510414282445,0.0,1,1.0,36391.0,0
86915547035,2757.589,-8.4838,2.5699,4.9125,-0.1283,-0.358,-0.2859,1105.2121766994735,462.4202334630351,0.0,1,1.0,36070.0,0
86915666294,2757.6,-8.7936,3.1442,3.7531,-0.1332,-0.0965,-0.0709,1106.2668802929732,465.1668574044404,0.0,1,1.0,35654.0,0
86915775011,2757.612,-9.015,2.0614,5.3527,-0.022,0.0916,-0.0232,1106.5598535133895,465.2767223620966,0.0,1,1.0,34884.0,0
86915892010,2757.623,-8.8977,1.1354,6.1161,0.3519,0.6573,0.2578,1106.5598535133895,465.2767223620966,0.0,1,1.0,34884.0,0
86916008460,2757.634,-8.5555,1.5781,4.9914,0.6304,1.058,0.5632,1106.7356374456397,463.7386129549096,0.0,1,1.0,34211.0,0
86916125214,2757.646,-8.3521,2.5364,3.8764,0.6976,1.179,0.6939,1106.7356374456397,463.7386129549096,0.0,1,1.0,34211.0,0
