host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
87526681195,2818.702,-8.4897,1.5135,4.7833,0.3824,0.0073,-0.0134,1088.4541084916457,476.6294346532387,0.0,1,1.0,20287.0,0
87526791731,2818.713,-8.5783,2.004,4.5679,0.237,-0.0342,0.0293,1088.4541084916457,476.6294346532387,0.0,1,1.0,20287.0,0
87526906789,2818.725,-8.5854,2.2911,4.7031,0.0757,-0.0403,0.0501,1088.4541084916457,476.6294346532387,0.0,1,1.0,20287.0,0
87527021588,2818.736,-9.1107,1.547,5.7763,0.0208,-0.011,0.0464,1088.4541084916457,476.6294346532387,0.0,1,1.0,29439.0,0
87527137475,2818.748,-9.0592,1.1402,5.8768,0.5608,0.529,0.1967,1088.4541084916457,476.6294346532387,0.0,1,1.0,29439.0,0
87527248877,2818.759,-8.8929,1.2371,5.653,0.7941,0.7856,0.3482,1088.2783245593955,476.9956511787594,0.0,1,1.0,29695.0,0
87527368295,2818.77,-8.7111,1.5745,5.2786,1.0311,0.9994,0.4386,1090.387731746395,471.3925383382925,0.0,1,1.0,32575.0,0
87527483873,2818.782,-8.5484,1.9585,4.7737,1.1277,1.124,0.4887,1090.387731746395,471.3925383382925,0.0,1,1.0,32575.0,0
87527591934,2818.793,-8.4514,2.2433,4.5583,1.0837,1.1631,0.5156,1095.42687113756,456.1945525291829,0.0,1,1.0,37321.0,0
87527707865,2818.804,-8.3809,2.6213,4.1862,1.0825,1.1777,0.5046,1099.704280155642,443.90798809796286,0.0,1,1.0,39629.0,0
87527816569,2818.8160000000003,-8.3091,2.9456,3.6359,0.9713,1.0873,0.4716,1099.704280155642,443.90798809796286,0.0,1,1.0,39629.0,0
87527929128,2818.827,-8.2469,3.344,3.4684,0.8125,0.8002,0.3592,1104.3332570382238,432.07919432364383,0.0,1,1.0,40687.0,0
87528045955,2818.838,-8.1727,3.746,3.2088,0.6988,0.6133,0.2798,1111.0716411078051,417.6136415655757,0.0,1,1.0,41617.0,0
87528157680,2818.85,-8.12,4.0187,3.1011,0.5192,0.3726,0.1967,1111.0716411078051,417.6136415655757,0.0,1,1.0,41617.0,0
87528269926,2818.861,-8.1906,4.252,3.1848,0.3555,0.1637,0.121,1115.1146715495538,410.8386358434424,0.0,1,1.0,41874.0,0
87528385364,2818.872,-8.3845,4.3202,3.2913,0.2004,0.0183,0.0525,1117.9272144655529,407.3962005035477,0.0,1,1.0,41938.0,0
87528499008,2818.884,-8.6046,4.1025,3.4289,0.1087,-0.0525,-0.0134,1117.9272144655529,407.3962005035477,0.0,1,1.0,41938.0,0
87528610138,2818.895,-8.7637,3.9721,3.283,0.0379,-0.0892,-0.0794,1119.1577019913025,406.6637674525063,0.0,1,1.0,41906.0,0
87528725587,2818.906,-8.473,4.3226,1.5601,-0.4447,-0.5498,-0.3018,1119.274891279469,406.6637674525063,0.0,1,1.0,40431.0,0
87528840829,2818.918,-8.3976,4.0654,2.3988,-0.7269,-0.9407,-0.4423,1119.274891279469,409.1540398260471,0.0,1,1.0,37160.0,0
87528954101,2818.929,-8.6333,3.3667,4.0798,-0.8467,-0.9285,-0.4191,1119.274891279469,409.1540398260471,0.0,1,1.0,37160.0,0
87529064390,2818.94,-9.5115,2.7553,4.4411,-0.7233,-0.7624,-0.2272,1118.1029983978028,414.8303959716183,0.0,1,1.0,24543.0,0
87529178604,2818.952,-10.0307,2.6477,4.1946,-0.6304,-0.7037,0.033,1114.587319752804,419.1151293202106,0.0,1,1.0,4416.0,0
87530536618,2819.088,-8.4574,1.0241,4.5799,0.4655,-0.0244,-0.0941,1073.1609063859007,414.5008010986495,0.0,1,1.0,23839.0,0
87530649723,2819.099,-8.8008,1.523,3.8907,0.5278,-0.2089,-0.1906,1073.1609063859007,414.5008010986495,0.0,1,1.0,22047.0,0
87530763730,2819.11,-9.0772,1.5482,4.3908,0.6304,-0.3738,-0.4362,1077.7898832684823,422.411078049897,0.0,1,1.0,24607.0,0
87530876553,2819.122,-9.003,1.5589,4.5248,0.8051,-0.4386,-0.6145,1081.4813458457313,426.6591897459373,0.0,1,1.0,27775.0,0
87530990875,2819.1330000000003,-8.802,1.9585,4.3585,0.8943,-0.4728,-0.6988,1092.3213550011444,437.42595559624624,0.0,1,1.0,32800.0,0
87531103848,2819.1440000000002,-8.7159,2.4909,4.3502,0.898,-0.4459,-0.6829,1098.8253604943925,443.1023117418173,0.0,1,1.0,35109.0,0
87531219474,2819.156,-8.662,2.8762,4.2341,0.8088,-0.3763,-0.6145,1105.68093385214,448.7237354085603,0.0,1,1.0,37000.0,0
87531337635,2819.167,-8.3904,3.6024,3.9362,0.4691,-0.237,-0.3421,1118.3959716182194,458.4284733348593,0.0,1,1.0,39437.0,0
87531444685,2819.178,-8.3701,3.9051,3.8321,0.2407,-0.193,-0.1857,1118.3959716182194,458.4284733348593,0.0,1,1.0,39437.0,0
87531561883,2819.19,-8.2971,4.0774,3.9135,0.0354,-0.171,-0.088,1128.3863584344244,464.9837491416801,0.0,1,1.0,39790.0,0
87531678565,2819.201,-8.3773,4.1504,3.947,-0.1393,-0.1527,-0.0147,1135.769283588922,468.9022659647517,0.0,1,1.0,37834.0,0
87531787720,2819.212,-8.5531,4.0594,3.8333,-0.3274,-0.1784,-0.0244,1135.769283588922,468.9022659647517,0.0,1,1.0,37834.0,0
87531898967,2819.224,-8.9803,3.0963,4.1994,-0.4349,-0.204,0.0,1136.2966353856718,469.085374227512,0.0,1,1.0,29279.0,0
