host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
88325565510,2898.59,-8.5364,1.7264,5.1003,-0.0195,-0.1943,-0.1258,1093.200274662394,456.9269855802244,0.0,1,1.0,3296.0,0
88325677573,2898.601,-8.5412,1.7779,4.9807,0.0648,-0.1283,-0.0782,1091.0322728313115,461.7244220645457,0.0,1,1.0,11040.0,0
88325798213,2898.612,-8.5244,1.9238,4.8144,0.1258,-0.0733,-0.044,1090.8564888990616,462.6033417257954,0.0,1,1.0,15744.0,0
88325909712,2898.6240000000003,-8.4897,2.0913,4.5978,0.0696,-0.0733,-0.0391,1090.8564888990616,462.6765850308996,0.0,1,1.0,18207.0,0
88326023705,2898.635,-8.8271,1.7264,5.525,-0.0171,-0.0257,-0.0318,1090.8564888990616,462.6765850308996,0.0,1,1.0,21023.0,0
88326141636,2898.646,-8.9815,1.2132,6.2704,0.3384,0.2517,0.033,1090.8564888990616,462.6033417257954,0.0,1,1.0,23903.0,0
88326248555,2898.658,-8.8487,1.1677,5.9557,0.6402,0.5156,0.1063,1090.8564888990616,462.6033417257954,0.0,1,1.0,23903.0,0
88326361207,2898.669,-8.5866,1.188,5.4317,0.7795,0.6475,0.1454,1093.200274662394,456.3044174868392,0.0,1,1.0,28255.0,0
88326471603,2898.681,-8.5101,1.2239,5.1278,0.8674,0.6829,0.1759,1096.540169375143,449.63927672236207,0.0,1,1.0,32159.0,0
88326587917,2898.692,-8.4694,1.3926,4.9149,0.9187,0.6964,0.2028,1100.8761730373085,443.0290684367132,0.0,1,1.0,34628.0,0
88326699805,2898.703,-8.3845,1.6116,4.6397,0.9578,0.6817,0.2248,1103.278553444724,440.0993362325474,0.0,1,1.0,35365.0,0
88326819395,2898.715,-8.3282,2.6189,3.9087,0.9444,0.6255,0.2517,1105.85671778439,437.42595559624624,0.0,1,1.0,35910.0,0
88326928993,2898.726,-8.2265,3.0197,3.8154,0.711,0.4068,0.2615,1105.85671778439,437.42595559624624,0.0,1,1.0,35910.0,0
88327042897,2898.737,-8.3031,3.4959,3.6838,0.5119,0.2786,0.2334,1110.837262531472,432.9947356374456,0.0,1,1.0,36519.0,0
88327160782,2898.7490000000003,-8.333,3.6096,3.7448,0.3311,0.1552,0.1772,1117.224078736553,428.7100022888533,0.0,1,1.0,36744.0,0
88327275021,2898.76,-8.2433,3.4193,3.8704,0.2114,0.0489,0.1356,1117.224078736553,428.7100022888533,0.0,1,1.0,36744.0,0
88327382813,2898.771,-8.3019,3.2794,3.9972,0.1442,-0.0452,0.0965,1119.9780270084689,427.0986495765621,0.0,1,1.0,36359.0,0
88327505237,2898.783,-8.4395,3.2327,4.1264,0.1344,-0.1087,0.0269,1119.9780270084689,427.0986495765621,0.0,1,1.0,36359.0,0
88327616276,2898.794,-8.467,3.2901,3.7376,0.1295,-0.2126,-0.1332,1119.9780270084689,427.0986495765621,0.0,1,1.0,36359.0,0
88327723448,2898.805,-8.3246,2.6931,3.9362,-0.0794,-0.7318,-0.5681,1119.9780270084689,427.0986495765621,0.0,1,1.0,36359.0,0
88327843834,2898.817,-8.345,2.2863,4.599,-0.0342,-0.7709,-0.6194,1119.9780270084689,427.0986495765621,0.0,1,1.0,36359.0,0
88327957401,2898.828,-8.4443,2.2086,4.8503,0.0293,-0.7062,-0.5877,1119.9780270084689,427.0986495765621,0.0,1,1.0,36359.0,0
88328064099,2898.839,-8.473,2.2158,4.9998,0.11,-0.5864,-0.5143,1128.6207370107577,439.2204165712977,0.0,1,1.0,14720.0,0
88328180995,2898.851,-8.4526,2.2337,5.1649,0.1881,-0.4227,-0.3983,1132.8981460288396,447.8448157473106,0.0,1,1.0,9984.0,0
88328295386,2898.862,-8.4658,2.2516,5.1769,0.27,-0.2334,-0.2529,1132.8981460288396,447.8448157473106,0.0,1,1.0,9984.0,0
88328404611,2898.873,-8.4431,2.4347,4.9364,0.3213,-0.0672,-0.0965,1138.3474479285878,457.69604028381787,0.0,1,1.0,8640.0,0
88328520438,2898.885,-8.4802,2.8845,4.264,0.3164,0.033,-0.011,1140.2810711833372,460.7356374456398,0.0,1,1.0,10560.0,0
88328633844,2898.896,-8.5113,2.7482,4.2604,0.1625,0.0147,-0.0354,1140.2810711833372,460.7356374456398,0.0,1,1.0,10560.0,0
88328744258,2898.907,-8.4742,2.4467,5.0213,0.1368,0.121,0.1185,1140.984206912337,461.358205539025,0.0,1,1.0,14816.0,0
88328862561,2898.919,-8.5436,2.674,5.3731,0.2443,0.4838,0.4472,1140.984206912337,461.358205539025,0.0,1,1.0,20959.0,0
88328977768,2898.93,-8.4562,3.1143,5.2989,0.3299,0.8296,0.7172,1140.984206912337,461.358205539025,0.0,1,1.0,20959.0,0
88329086052,2898.9410000000003,-8.2409,3.3464,5.1805,0.4117,1.1961,0.9578,1137.1755550469215,454.2536049439232,0.0,1,1.0,28223.0,0
88329200804,2898.953,-8.1045,3.5258,4.4806,0.3848,1.416,1.1093,1129.265278095674,440.905012588693,0.0,1,1.0,33858.0,0
88329314305,2898.964,-8.1416,3.4457,3.8728,0.3201,1.4722,1.146,1129.265278095674,440.905012588693,0.0,1,1.0,33858.0,0
88329423787,2898.975,-8.7805,2.8092,2.9145,0.0904,1.1374,0.832,1117.5170519569697,421.861753261616,0.0,1,1.0,38218.0,0
88329537767,2898.987,-8.9097,2.4203,2.8403,0.0,0.8564,0.6414,1103.805905241474,401.2437628747997,0.0,1,1.0,41713.0,0
88329660567,2898.998,-9.0221,2.2875,2.8834,-0.0562,0.5938,0.4704,1091.0908674753948,383.18928816662856,0.0,1,1.0,43861.0,0
88329764948,2899.009,-9.2112,2.2899,2.7505,-0.1319,0.3115,0.281,1091.0908674753948,383.18928816662856,0.0,1,1.0,43861.0,0
88329879421,2899.021,-9.1813,2.3486,2.8259,-0.1869,0.0599,0.1295,1078.6688029297322,365.6841382467384,0.0,1,1.0,44471.0,0
88329997392,2899.032,-9.0353,2.333,3.0461,-0.2517,-0.1405,0.0403,1075.09452964065,360.5204852368963,0.0,1,1.0,44374.0,0
88330109882,2899.043,-8.9791,2.7733,3.5318,-0.2346,-0.2297,0.0562,1075.09452964065,360.5204852368963,0.0,1,1.0,44374.0,0
88330219230,2899.055,-9.7065,3.5282,1.8449,-0.2676,-0.6597,-0.3457,1074.2156099794004,359.0189974822614,0.0,1,1.0,40238.0,0
