host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
89079022696,2973.935,-8.7446,-0.6951,5.5298,0.1002,-0.0953,-0.347,1075.2117189288167,481.902952620737,0.0,1,1.0,15328.0,0
89079141598,2973.946,-9.0329,-1.0504,5.6973,0.4362,-0.0794,-0.3482,1075.2117189288167,481.902952620737,0.0,1,1.0,17631.0,0
89079255395,2973.957,-9.253,-1.8281,6.1914,0.8063,0.033,-0.4007,1075.2117189288167,481.902952620737,0.0,1,1.0,17631.0,0
89079368738,2973.969,-9.0903,-1.7874,6.3159,1.1606,0.2566,-0.2297,1075.2117189288167,481.902952620737,0.0,1,1.0,22879.0,0
89079474855,2973.98,-8.8307,-0.92,5.9198,1.4661,0.4643,0.022,1088.512703135729,488.71457999542224,0.0,1,1.0,26527.0,0
89079593543,2973.991,-8.4706,0.1591,5.3121,1.6212,0.595,0.2456,1088.512703135729,488.71457999542224,0.0,1,1.0,26527.0,0
89079707338,2974.003,-8.2505,1.4177,4.9077,1.5882,0.6304,0.4508,1102.2824444953078,489.2639047837033,0.0,1,1.0,28479.0,0
89079822476,2974.014,-8.1835,2.7709,4.7019,1.4502,0.6634,0.5596,1116.0521858548868,488.6413366903181,0.0,1,1.0,31135.0,0
89079939520,2974.025,-7.6666,5.074,3.8142,1.2181,0.6402,0.485,1116.0521858548868,488.6413366903181,0.0,1,1.0,31135.0,0
89080044988,2974.0370000000003,-7.5517,5.8409,3.6036,0.4704,0.3421,0.3604,1133.0153353170062,483.0382238498512,0.0,1,1.0,31583.0,0
89080163770,2974.0480000000002,-7.7719,6.0586,3.8082,0.0599,0.1625,0.2065,1139.812314030671,478.7901121538109,0.0,1,1.0,31583.0,0
89080270155,2974.059,-7.8233,5.4915,4.4554,-0.2175,0.11,0.1112,1139.812314030671,478.7901121538109,0.0,1,1.0,31583.0,0
89080393108,2974.071,-7.7432,5.0548,4.5739,-0.2834,0.2187,0.2162,1142.2146944380866,474.7617303730831,0.0,1,1.0,31327.0,0
89080509806,2974.082,-7.8832,5.0812,3.8249,-0.43,0.2272,0.2505,1140.4568551155871,469.0121309224079,0.0,1,1.0,31391.0,0
89080628038,2974.093,-8.0877,4.3669,3.7783,-0.617,0.1173,0.1979,1140.4568551155871,469.0121309224079,0.0,1,1.0,31391.0,0
89080739471,2974.105,-8.2648,3.4158,4.1874,-0.7538,0.1014,0.2419,1126.3941405355918,454.8761730373084,0.0,1,1.0,31647.0,0
89080853413,2974.116,-8.7075,1.4321,4.6193,-0.9065,0.1381,0.2847,1112.360723277638,443.1023117418173,0.0,1,1.0,31807.0,0
89080965343,2974.127,-9.0389,-0.4965,5.2247,-0.65,0.1112,0.1588,1112.360723277638,443.1023117418173,0.0,1,1.0,31807.0,0
89081079989,2974.139,-9.1837,-1.7216,5.5789,-0.2957,0.088,0.011,1096.5987640192263,430.6875715266651,0.0,1,1.0,32191.0,0
89081189869,2974.15,-9.0951,-2.2026,5.7105,0.0586,0.0525,-0.0684,1084.586861982147,420.5433737697414,0.0,1,1.0,34083.0,0
89081304945,2974.161,-9.0712,-2.0375,6.274,0.4777,0.1552,0.0733,1084.586861982147,420.5433737697414,0.0,1,1.0,34083.0,0
89081414231,2974.1730000000002,-9.1478,-1.2359,6.3398,0.9432,0.4191,0.2443,1080.0750743877318,415.0135042343786,0.0,1,1.0,36808.0,0
89081527117,2974.184,-9.1071,0.0179,5.4509,1.2303,0.5522,0.2602,1082.711833371481,410.9485008010986,0.0,1,1.0,37096.0,0
89081645977,2974.195,-8.5711,2.2397,3.4684,1.2559,0.3372,-0.0061,1082.711833371481,410.9485008010986,0.0,1,1.0,37096.0,0
89081756647,2974.207,-8.3952,3.3739,3.1585,0.931,0.1344,-0.0611,1091.3838406958114,410.2160677500572,0.0,1,1.0,38186.0,0
89081870081,2974.218,-8.3749,4.1791,3.3488,0.6243,0.0098,-0.0525,1103.688715953307,412.52323186083765,0.0,1,1.0,38571.0,0
89081988986,2974.2290000000003,-8.4191,4.5727,3.4816,0.3567,-0.0415,-0.0623,1103.688715953307,412.52323186083765,0.0,1,1.0,38571.0,0
89082097432,2974.241,-8.4814,4.6229,3.6371,0.0941,-0.0745,-0.0049,1116.0521858548868,417.24742504005496,0.0,1,1.0,38539.0,0
89082212311,2974.252,-9.3571,4.2556,3.6048,-0.0635,-0.0696,0.1185,1128.9137102311745,421.5321583886473,0.0,1,1.0,29055.0,0
89082328548,2974.263,-10.4626,4.1551,3.1466,-0.0269,-0.2651,0.4056,1128.9137102311745,421.5321583886473,0.0,1,1.0,29055.0,0
89082436632,2974.275,-10.0187,4.0295,3.4971,-0.1014,-0.551,0.5082,1131.0231174181736,421.6786449988556,0.0,1,1.0,6432.0,0
89082549662,2974.286,-7.1414,2.5448,4.6146,-0.0843,-0.628,0.4081,1131.0231174181736,421.6786449988556,0.0,1,1.0,6432.0,0
